주요등장인물,1000|1001|1002,퍼즐,Lake,,,,,,,,,,,,
씬,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자 위치,레이아웃,이미지,콘텐츠,배경음,효과음,.
1,,601,,어느 한 어린이집,,,,,,1,어린이집,,,,
,,601,1001,나도..! 나도 호랑이도 보고 사자도 보고` 같이 김밥도 먹을거야!,,,,0,1,,,,,,
,,601,친구,나는 가서 호랑이랑 토끼랑 같이 밥먹고 놀거야!,,,,0,2,,,,,,
,,601,선생님,내일은 동물원으로 소풍을 갈거에요~,,,,0,2,,,,,,
,,601,선생님,그러니까 오늘 집에 가서 부모님께 꼭! 이 종이를 보여주세요. 여러분~,,,,0,2,,,,,,
,,601,1001,빨리 집에 가서 엄마한테 말해야지!,,,,0,1,,,,,,
1,,602,1001,엄마! 내일 소풍! 이거봐요!,,,,0,1,,거실,,,,
,,602,1002,응? 이게 뭔데?,,,,0,2,,,,,,
,,602,1002,어머 내일 소풍가는 구나! 우리 아들 엄마가 유부초밥 해줄까?,,,,1,2,,,,,,
,,602,1001,나나 김밥도 먹고 싶어요! 사자랑 먹을거에요!,,,,0,1,,,,,,
,,602,1002,그래~ 그럼 얼른 자자!,,,,0,2,,,,,,
,,602,1001,네~ 히히 내일은 일찍 일어나야지!,,,,1,1,,,,,,
,,602,1001,음… 왜 잠에 들지 않는거지? 이상하다…,,,,2,1,,,,,,
2,501,603,,몽글몽글…,,,,,,,,,,,
,,603,,몽글거리는 구름 속에서 잠재우미가 태어났다,,,,,,,,,,,
,,603,1000,아흐암… 잘잤다… 여긴 어디지?,,,,0,1,,,,,,
,,603,1000,도문… 도문이! 여기는 도문이의 마음 속이구나!,,,,0,1,,,,,,
,,603,1000,도문아 안녕~ 나는 오늘부터 네가 잠에 들지 못하는 밤마다 나타나,,,,0,1,,,,,,
,,603,1000,감정을 진정시켜주고 잠에 들게 도와줄 잠재우미라고 해.,,,,0,1,,,,,,
,,603,1000,너는 내 말이 들리지 않겠지만,,,,1,1,,,,,,
,,603,1000,나는 언제나 이곳에서 너를 도와줄거야.,,,,1,1,,,,,,
,,603,1000,이곳이 이렇게 환한 걸 보니 잠에 들지 못하고 있는 거겠지?,,,,0,1,,,,,,
,,603,1000,그럼 우선 이곳에 처음 왔으니,,,,0,1,,,,,,
,,603,1000,주변을 한번 둘러봐야겠다.,,,,0,1,4,,,,,
2,501,604,,,,,603,,,7,,,,,
2,501,605,1000,그러면 깜빡이는 등을 따라 호수로 이동해보자!,,,604,0,1,1,,,,,
,,605,1000,도문이가 얼른 잠에 들어야 내일 신나게 놀 수 있어!,,,,0,1,,,,,,
,,605,,좌클릭을 통해 잠재우미를 클릭 지점으로 이동시키세요.,,,,,,,,,,,
,,605,,우클릭 드래그를 통해 시점을 변경시켜보세요.,,,,,,,,,,,
2,505,606,1000,호수로 난 길을 따라서 끝까지 가면 돼!,,,,0,1,,,,,,
,,606,1000,그럼 도문이가 잠을 잘 수 있도록 퍼즐을 풀어볼까?,,,,0,1,,,,,,
2,501,607,1000,후~ 이제 다 끝났나?,,,,0,1,,,,,,
,,607,1000,감정등이 꺼졌어!,,,,0,1,,,,,,
,,607,1000,불을 모두 껐으니 이제 도문이가 편안하게 잠에 들 수 있을 거야.,,,,8,1,,,,,,
1,,608,1001,으아~ 잘잤다!,,,,0,1,,6세침실,,,,
,,608,1001,어제는 이상하게 잠이 잘 안 와서 걱정했는데,,,,0,1,,,,,,
,,608,1001,다행히 어느샌가 잠에 들어서,,,,1,1,,,,,,
,,608,1001,오늘 이렇게 일찍 일어날 수 있었어!,,,,1,1,,,,,,
1,,609,1002,도문아` 잘 잤니?,,,,0,2,,거실,,,,
,,609,1001,네 엄마! 김밥 먹을래요!,,,,0,1,,,,,,
,,609,1002,그래~ 엄마가 여기 싸뒀으니까,,,,1,2,,,,,,
,,609,1002,얼른 세수하고 갈 준비 해야지!,,,,1,2,,,,,,
,,609,1001,네 엄마~,,,,1,1,,,,,,
,,609,,…,,,,,,,,,,,
,,609,,…..,,,,,,,,,,,
,,609,1001,다 했어요!,,,,1,1,,,,,,
,,609,1002,그래그래. 우리 아들 잘 했네!,,,,0,2,,,,,,
,,609,1002,도시락에 김밥이랑 유부초밥이랑 들어 있으니까,,,,0,2,,,,,,
,,609,1002,가서 친구들이랑 맛있게 먹으렴!,,,,2,2,,,,,,
E,,,,,,,,,,,,,,,
