등장주요인물,1001|1002|1003,,,,,,,,,,,,,,
씬,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자,레이아웃,배경 id,콘텐츠,배경음,효과음,.
8,71,701,1001,,,,,4,0,2,,,,,
,,701,1001,...,,,,4,0,1,,,,,
,,701,1001,무슨 소리지..?,,,,3,0,,,Sound0,,,
,,701,1001,으음...,,,,4,0,,,BlinkOpen,,,
8,71,702,1001,... 엄마..?,,,701,2,0,1,,,,,
,,702,1001,저기서 나는 거 같은데...,,,,0,0,,,Sound1,,,
,,702,1001,엄마가 아닌가... 무슨 소리지?,,,,2,0,,,FrameOut,,,
8,7001,703,1001,왜이렇게 어질러져 있지...,,,,9,0,1,,,,,
,,703,1001,좀있다가 정리할래... ,,,,3,0,,,,,,
8,7000,704,1001,와...환하다!,,,,9,0,1,,,,,
,,704,1001,이렇게 앞에서 하면…,,,,8,0,1,,,,,
,,704,,,,,,,,7,,Shadow,,,
,,704,1001, 짠! 강아지다!,,,,8,0,1,,Next,,,
8,7000,705,1001,앗..! 잘못 눌러서 어두워 졌어...,,,704,2,0,1,,LightOff,,,
,,705,1001,꺼지면 안돼... 난 어두운게 무서... 아니 싫어!,,,,5,0,,,Next,,,
8,7000,706,1001,만지지 말자... 더 어두워지면 안돼...,,,705,5,0,1,,,,,
8,7002,707,,커튼이 단단히 쳐있다.,,,,,,1,,,,,
,,707,1001,...창문은 무서워...,,,,6,0,,,,,,
,,707,1001,못보겠어...,,,,5,0,,,Next,,,
8,7002,708,1001,안볼거야.,,,707,0,0,1,,,,,
,,708,1001,...절대!,,,,7,0,,,,,,
8,7003,709,,옷장 문은 꽉 닫혀있다.,,,,,,1,,,,,
,,709,,도문은 빨리 소리가 들리는 곳으로 가고 싶어하는 것 같다.,,,,,,,,,,,
,,709,1001,나 저기로 가고 싶은데...,,,,2,0,,,Next,,,
8,7003,710,1001,옷장말구!,,,709,7,0,1,,,,,
,,710,1001,난 빨리 저기루 가고 싶어!,,,,7,0,,,,,,
8,7005,711,,의자는 책상 안에 들어가 있다. ,,,,,,1,,,,,
,,711,,도문은 왜인지 책상 아래를 무서워하는 것 같아 보인다.,,,,,,,,,,,
,,711,1001,책상 아래엔 밤에 도깨비가 숨어있다 그랬어...보면안돼.,,,,2,0,,,Next,,,
8,7005,712,1001,안봐..! 무섭단 말이야,,,711,5,0,1,,,,,
8,7004,713,,책상 위에는 여러 책들이 놓여져 있었다. 도문이가 책 위로 그린 그림들이 인상깊다.,,,,,,1,,,,,
,,713,1001,히히…내가 봐도 잘 그렸어!,,,,1,0,,,Next,,,
8,7004,714,1001,내일은 머 그릴까?,,,713,8,0,1,,,,,
8,7013,715,,곰인형이 책상 밑에 떨어져 있었다.,,,,,,1,,,,,
,,715,1001,응? 우리 고미가 왜 여기있지??,,,,2,0,,,,,,
,,715,1001,자~ 다시 여기 있자!,,,,1,0,,,BearUp,,,
,,715,1001,아까 그 소리는 얘가 떨어지는 소리였나봐! ,,,,1,0,,,,,,
,,715,1001,흐아암...,,,,3,0,,,,,,
,,715,1001,다시 잘래...,,,,4,0,,,,,,
,,715,,도문은 발을 돌려 다시 침대로 향하기 시작했다.,,,,,,,,Next,,,
8,72,716,1001,잘래...,,,715,4,0,1,,,,,
,,716,,...,,,,,,,,Next,,,
8,71,717,,,,,,,,,,,,,
,,717,,침대에 누운 도문은 졸린지 금새 눈이 감기려고 하고 있었다.,,,,,,1,,BlinkClose,,,
,,717,1001,꾸벅꾸벅...,,,,3,0,,,,,,
,,717,1001,음...,,,,3,0,,,,,,
,,717,,그렇게 도문이 감긴 눈에 잠이들려 할 때였다.,,,,,,,,,,,
,,717,,툭,,,,,,,,Sound2,,,
,,717,,툭,,,,,,,,Sound2,,,
,,717,,툭,,,,,,,,Sound2,,,
,,717,1001,이게 무슨 소리지..?,,,,3,0,,,BlinkOpen,,,
,,717,,계속해서 어디선가 돌을 던지는 듯한 소리가 들려왔다.,,,,,,,,,,,
,,717,1001,누가 밖에서 돌을 던지나봐... 엄마가 그런거 던지면 안된다 그랬는데...,,,,2,0,,,Next,,,
8,71,718,,툭...툭...툭...,,,717,,,1,,Sound2,,,
,,718,,애써 무시하고 잠들려했지만` 도저히 참을 수 없었다.,,,,,,,,,,,
,,718,1001,씨잉... 누가 자꾸 던지는 거야...!,,,,7,0,,,,,,
,,718,,도문은 주위를 둘러보다가` 창가에서 나는 소리임을 알고는 고민한다.,,,,,,,,,,,
,,718,1001,밤에 창문 보는건 무서운데...,,,,2,0,,,,,,
,,718,1001,...,,,,0,0,,,,,,
,,718,,한참을 고민한다.,,,,,,,,,,,
,,718,1001,아..! 친구랑 가면 안무서울 거야! 우리 고미 데려와야지!,,,,9,0,,,Next,,,
8,7001,719,,침구가 어질러져 있다. 신경질적으로 붙잡은 듯이 구겨진 자국이 있다.,,,,,,1,,,,,
,,719,,흐트러진 침구가 침대 아래를 가려주고 있다.,,,,,,,,Next,,,
8,7001,720,1001,엄마가 일어나면 이불 정리하라구 했는데…,,,719,2,0,1,,,,,
,,720,1001,그래두...일단 고미가 먼저야!,,,,0,0,,,,,,
8,7000,721,,전등이 은은하게 비치고 있다. ,,,,,,1,,,,,
,,721,,밤이 깊어 갈수록 전등의 빛은 환해진다.,,,,,,,,,,,
,,721,1001,여기만 막 환해…,,,,3,0,,,,,,
8,7002,722,,커튼이 단단히 쳐있다.,,,,,,1,,,,,
,,722,1001,…밤에 보는 창문 무서워...,,,,5,0,,,,,,
,,722,,도문은 창문에서 눈을 돌렸다.,,,,,,,,Next,,,
8,7002,723,1001,안볼거야.,,,722,4,0,1,,,,,
,,723,,도문은 창문에서 시선을 돌렸다.,,,,,,,,,,,
8,7003,724,1001,움...,,,,0,0,1,,,,,
,,724,1001,빨리 고미 데려와야 되는데...,,,,0,0,,,,,,
8,7005,725,,의자가 살짝 빠져나와 있다.,,,,,,1,,,,,
,,725,1001,아까 고미를 올려주면서 움직였나봐..!,,,,2,0,,,Next,,,
,,725,1001,다시 넣어줘야지!,,,,1,0,,,ChairMove,,,
8,7005,726,1001,밤에는 빼면 안돼..!,,,,9,0,1,,,,,
,,726,1001,(소근소근)도깨비…나온단 말야!,,,,2,0,,,,,,
8,7004,727,,책상 위에는 여러 책들이 놓여져 있었다. 도문이가 책 위로 그린 그림들이 인상깊다.,,,,,,1,,,,,
,,727,,그림이 약간 번져있다.,,,,,,,,,,,
,,727,,고미의 발바닥에 크레파스가 묻어있다.,,,,,,,,,,,
,,727,1001,아까 올려두면서 그랬나보다... 힝...내가 아끼는 그림인데...,,,,5,0,,,,,,
8,7013,728,1001,고미야!,,,,6,0,1,,,,,
,,728,1001,나랑 같이 저기 가보자... 혼자는 무서워.,,,,6,0,,,,,,
,,728,,도문은 고미의 꽉 껴안았다.,,,,,,,,BearDis,,,
8,7010,729,,상자가 들어있다. 그 안에는 인형과 각종 장난감들이 차있다. ,,,,,,1,,,,,
8,7009,730,,동화책과 인형이 같이 놓여 있다. ,,,,,,1,,,,,
,,730,,동화책을 많이 본건지 아주 너덜너덜해져 있었다.,,,,,,,,,,,
8,7008,731,,책으로 가득 차 있다. 빼곡히 차 있는 책은 도무지 빠질 것 같지 않아 보인다. ,,,,,,1,,,,,
8,7007,732,,자동차와 히어로 피규어들이 가득 차 있다. 그 나열들이 매우 정갈하다.,,,,,,1,,,,,
8,7006,733,,큰 인형들이 책장 위에 가지런히 앉아있다. 하나같이 다 정면을 바라보고 있다.,,,,,,1,,,,,
8,72,734,1001,아냐! 이거 먼저 확인할거야...,,,,7,0,1,,,,,
,,734,1001,도문이 혼자 해볼거야!,,,,7,0,,,,,,
,,734,1001,아...고미두...,,,,9,0,,,,,,
,,734,1001,엄마랑 아빠 도움은 필요없어! 빨리 가자 고미야!,,,,2,0,,,,,,
8,72,735,1001,고미 먼저...!,,,728,5,0,1,,,,,
8,71,736,1001,...꿀꺽...,,,728,0,0,1,,,,,
,,736,1001,나...난... 안무서운데...고미가!,,,,9,0,,,,,,
,,736,1001,고미가 무서워하는거 같아!,,,,9,0,,,,,,
8,71,737,,툭...툭...툭...,,,736,,,1,,,,,
,,737,,점점 더 소리가 거세진다.,,,,,,,,,,,
,,737,1001,움...,,,,6,0,,,,,,
,,737,,도문은 고민하더니 고미를 더 세게 끌어 안고는 창가로 다가갔다.,,,,,,,,,,,
,,737,1001,하나...,,,,6,0,,,,,,
,,737,1001,두울...,,,,6,0,,,,,,
,,737,1001,셋..!,,,,6,0,,,,,,
,,737,,도문은 눈을 질끈 감고는 커튼을 열었다.,,,,,,,,WindowOpen,,,
,,737,1001,...,,,,2,0,1,,,,,
,,737,,한 쪽눈만 살짝 뜨며 조심히 살펴보던 도문은 이상한걸 보고 만다.,,,,,,,,,,,
8,71,738,1001,고미야..?,,,737,2,0,1,,,,,
