주요등장인물,1001|1004|1005|1006|1008|1009,퍼즐,,,,,,,,,,,,,
씬,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자 위치,레이아웃,이미지,콘텐츠,배경음,효과음,.
1,,2701,,도문은 대학을 졸업하고 인턴에서 시작하여 사수에게 일을 배우고 열심히 노력했다.,,,,1,2,1,사무실,,,,
,,2701,,그 결과 2년이라는 시간 끝에 정사원으로 승급할 수 있었다.,,,,,,,,,,,
,,2701,,정사원이 되면서 새로운 부서에 배치되어 정신 없는 일주일을 보낸 도문은 생각에 잠겼다.,,,,,,,,,,,
,,2701,1001,...,,,,4,1,,,,,,
,,2701,1008,보고서 내용이 왜 이래! 도문씨 내 말 똑바로 안 듣지?,,,,1,2,1,black,,,,
,,2701,,구광일 부장은 도문의 새로운 부서의 부장으로` 첫 날부터 호통을 내질러 도문을 당황스럽게 했다.,,,,,,,,,,,
,,2701,1009,아... 도문씨 아직 안 되셨다구요?,,,,0,2,,,,,,
,,2701,1009,곤란하네요... 이걸 도문씨가 먼저해주셔야 제가 다음 일을 하는데....,,,,0,2,,,,,,
,,2701,1009,...,,,,0,2,,,,,,
,,2701,1009,일단 최대한 빨리 처리해주시고` 다 되면 알려주세요.,,,,0,2,,,,,,
,,2701,,,,,,,,,,,,,
,,2701,,오늘은 도문의 실수로 입사 동기인 준일의 업무에 차질을 줬다.,,,,,,,,,,,
,,2701,,도문은 순간적으로 스쳐간 준일의 표정을 머리에서 지울 수 없었다.,,,,,,,,,,,
,,2701,1006,... 그만 좀 해. 내가 또 무슨 말을 해야 돼?,,,,7,2,,,,,,
,,2701,1006,오빠는 항상 이런 식이야. 매일 푸념 듣는 것도 이젠 지쳐.,,,,7,2,,,,,,
,,2701,1006,나는 스트레스 안 받는 것 같아? 나도 좀 쉬자.,,,,7,2,,,,,,
,,2701,1001,아…..,,,,4,0,,,,,,
,,2701,1001,지침의 연속이다.,,,,4,0,,,,,,
,,2701,1001,입사 동기 중 내가 제일 못 하는 것 같다. 잘 해보려 노력해도 업무에 방해만 되고...,,,,0,0,,,,,,
,,2701,1001,게다가 시도때도 없이 뭐 같은 상사가 나를 자꾸 갈군다.,,,,0,0,,,,,,
,,2701,1001,전부 다 마음에 들지 않는다.,,,,0,0,,,,,,
,,2701,1001,심지어 최근에는 나의 안식처라고 생각했던 여자친구 새나와도 다퉈버렸다.,,,,0,0,,,,,,
,,2701,1001,내가 무언가 잘못하고 있는걸까? 난 요즘 왜 이렇게 예민한걸까?,,,,5,0,,,,,,
1,,2702,1004,야~ 권도문 너 취했냐?,,,,0,2,,술집,,,,
,,2702,1005,내 목소리는 들려? 애가 정신을 못차리네..,,,,0,2,,,,,,
,,2702,1001,아… 맞다.. 나 친구들이랑 술을 마시고 있었던가?,,,,0,1,,술집(어둠),,,,
,,2702,1001,게슴츠레하게 눈을 떠보니 기울어진 탁자에 기울어진 술병이,,,,0,1,,,,,,
,,2702,1001,하나 둘.. 셋…. 넷…. 일곱….,,,,0,1,,,,,,
,,2702,1001,요즘 쌓인 스트레스 다 풀어버린다는 명목으로 내 자신을 너무 풀어줬나.. 으으….,,,,0,1,,,,,,
,,2702,1005,이번에 팀장 달았다고 했나?,,,,1,2,,술집,,,,
,,2702,1005,와.. 역시 넌 그럴 줄 알았어.,,,,1,2,,,,,,
,,2702,1005,어릴때부터 성실하기로 유명했잖아?,,,,0,2,,,,,,
