주요등장인물,1000|1001|1008|1009,퍼즐,Cave|Volcano,,,,,,,,,,,,
에피소드 id,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자 위치,레이아웃,이미지,콘텐츠,배경음,효과음,.
1,,2701,,,,,,,,2,11_1,시끄러운 사무실에서 일하고 있는 도문. 다른 쪽에선 수다가 한창이다.,,키보드 소리,
,,2701,,조용함과 시끄러움이 섞인 이곳. 이곳은 한 회사의 사무실이다.,,,,,,4,,,,,
,,2701,,사람들은 한창 자신의 업무를 수행하기 위해 바빠보인다.,,,,,,,,,,,
,,2701,,그 사람들 중에는 도문도 껴있었다.,,,,,,,,,,,
,,2701,,도문이 정사원으로 전환되어 사회생활을 시작한 지도 벌써 2개월이 지났다.,,,,,,,사무실,,,,
,,2701,,처음에는 드디어 정사원으로 취업했다는 것에 더할나위 없이 기쁘기만 했다.,,,,,,,,,,,
,,2701,,하지만... 이런 행복한 생각은 금새 사라져갔다.,,,,,,,,,,,
,,2701,,정사원이 되자마자 밀려오는 온갖 일들이 도문을 반겼다. 인턴일 때와는 차원이 다를 정도의 업무량에 도문은 늘 치여살기 시작했다.,,,,,,,,,,,
,,2701,,정사원이 되면서 부서가 바뀌고` 갑작스레 일이 배로 늘어나면서 적응 할 새도 많이 바빠졌다. 그리고 도문이 적응하기 가장 힘들었던 이유는...,,,,,,,,,,,
1,,2702,1008,도문씨 아까 해달라고 했던 보고서 언제 돼? 급한거니까 빨리 해달라니까!,,,,1,2,1,사무실,,,,
,,2702,1001,아... 죄송합니다. 앞에 일이 밀려서 최대한 빨리 작성하고 넘겨드릴게요...,,,,6,1,,,,,,
,,2702,1008,빨리 좀 써! 도문씨 때문에 내 일이 밀리잖아. 젊은 사람이 말이야 빨리빨리 해야지 안그래?,,,,1,2,,,,,,
,,2702,1001,네` 부장님...,,,,2,1,,,,,,
,,2702,,구광일 부장은 첫 날부터 지금까지 계속 도문을 잡아먹지 못해 안달난 사람 같았다.,,,,,,,,,,,
,,2702,,물론 이는 도문에게만 해당되는 이야기는 아니었다.,,,,,,,,,,,
,,2702,1008,준일씨도 말이야! 빨리 서류 정리해서 올려보내!,,,,1,2,,,,,,
,,2702,,도문과 같은 입사 동기인 고준일. 그에게도 부장님의 호통을 늘 떨어졌다.,,,,,,,,,,,
,,2702,1009,아까 전에 올려보냈습니다.,,,,0,1,,,,,,
,,2702,1008,뭐? 그럼 말을 했어야지! 나원 참!,,,,2,2,,,,,,
,,2702,,준일은 입사 초 때부터 눈에 띄었다. 센스있고 빠른 업무 처리 능력으로 요즘 부서 사람들 사이에서 능력이 뛰어나다고 말이 많았다.,,,,,,,,,,,
,,2702,,그래서 준일은 늘 부장의 호통질에도 담담히 자신의 일을 처리하며` 지금처럼 부장을 무안하게 만들기도 했다.,,,,,,,,,,,
,,2702,,도문은 그런 그의 능력에 감탄하고 부러워했다. ,,,,,,,,,,,
1,,2703,,그렇게 시간은 계속해서 흘러만 가고...퇴근 시간이 다가왔다.,,,,,,,사무실,,,stop,
,,2703,1008,나는 먼저 가볼테니까 다들 일 제대로좀 마치고 가.,,,,0,2,,,,,,
,,2703,1008,특히 도문씨 그 보고서 꼭 다 쓰고 가라고 알겠어?,,,,2,2,,,,,,
,,2703,1001,네 부장님... 들어가세요...,,,,2,1,,,,,,
,,2703,,부장은 그렇게 말하고는 누구보다 빠르게 퇴근했다. 나가는 발걸음이 평소보다 더 빨랐다.,,,,,,,,,,,
