등장주요인물,1000|1001|1006,,,,,,,,,,,,,,
에피소드 id,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자 위치,레이아웃,이미지,콘텐츠,배경음,효과음,.
12,,3101,1001,...,,,,0,1,1,영화관_매표소,,,,
,,3101,,도문은 지금 새나와 함께 영화관으로 데이트를 나왔다.,,,,,,,,,,,
,,3101,1006,오빠 우리 몇 시 영화지?,,,,0,2,,,,,,
,,3101,1001,음... 20분 정도 남았네.,,,,,1,,,,,,
,,3101,1001,내가 가서 마실거 사올게 여기 있어.,,,,0,1,,,,,,
,,3101,1006,응` 나 여기 앉아있을게 다녀와~,,,,1,2,,,,,,
,,3101,,도문은 매점으로가 익숙한듯 아이스 아메리카노 하나와 콜라 하나` 그리고 소금 팝콘을 시켰다.,,,,,,,,,,,
,,3101,,양손에는 음료수와 옆구리에 팝콘을 끼운채` 도문은 새나가 앉아 있는 테이블로 갔다.,,,,,,,,,,,
,,3101,1001,자 여기 커피.,,,,1,1,,,,,,
,,3101,1006,고마워 오빠. 얼른 들어가자.,,,,1,2,,,,,,
,,3101,,새나는 커피와 팝콘을 받아들고는 상영관으로 들어갔다.,,,,,,,,,,,
12,,3102,1001,...,,,,0,1,,영화관_내부,,,,
,,3102,1006,...,,,,0,2,,,,,,
,,3102,,달달한 로맨스 영화가 한창 상영 중인 지금` 둘은 영화에만 집중한 채 앉아있었다.,,,,,,,,,,,
,,3102,,서로에게 시선이 갈법도 했지만` 전혀 그런 기미는 보이지 않았다.,,,,,,,,,,,
,,3102,,그저 영화 스크린에 집중한 채` 서로 팝콘을 먹으며 보고 있을 뿐이었다.,,,,,,,,,,,
,,3102,,그렇게 영화가 끝나고...,,,,,,,,,,,
12,,3103,,까만 밤하늘이 반기는 지금.,,,,,,,길거리_밤,,,,
,,3103,,둘은 영화관을 나와 잠시 공원을 걷고 있었다.,,,,,,,,,,,
,,3103,1006,벌써 저녁 먹을 시간이네.,,,,0,2,,,,,,
,,3103,1001,우리 저번에 갔던 고깃집이나 갈까?,,,,0,1,,,,,,
,,3103,1006,아 거기. 그래 얼른 가서 먹자! 출출하네.,,,,1,2,,,,,,
,,3103,1001,응 빨리가자.,,,,1,1,,,,,,
,,3103,,그렇게 짧은 대화가 끝나고` 둘은 저녁을 먹으러 향했다.,,,,,,,,,,,
12,,3104,,자주가던 고깃집에 들어가` 자연스럽게 비어있는 테이블에 착석했다. ,,,,,,,고깃집_내부,,,,
,,3104,1006,늘 먹던대로 시킬까?,,,,1,2,,,,,,
,,3104,1001,그래. 그럼 시킬게.,,,,1,1,,,,,,
,,3104,1001,여기 주문이요.,,,,0,1,,,,,,
,,3104,,도문은 새나의 말에 긍정을 하곤 삼겹살 3인분과 된장찌개를 주문했다.,,,,,,,,,,,
,,3104,,고기가 금방 나오고` 도문은 아무말 없이 고기를 굽기 시작했다.,,,,,,,,,,,
,,3104,,새나는 도문이 고기를 굽는 동안 잔반찬 등을 가져와 셋팅하기 시작했다.,,,,,,,,,,,
,,3104,1001,...,,,,0,1,,,,,,
,,3104,,둘 사이에는 약간의 정적이 흘렀다. 그렇다고 해서 그 분위기가 어색하지는 않았다.,,,,,,,,,,,
,,3104,1001,그러고 보니 요즘 일은 어때?,,,,0,1,,,,,,
,,3104,1006,요즘은 좀 한가해졌어. 저번에 큰 프로젝트 하나가 끝났거든.,,,,0,2,,,,,,
,,3104,1006,오빠는 좀 어때?,,,,1,2,,,,,,
,,3104,1001,나야 뭐... 늘 똑같은 것 같아. 무난해.,,,,1,1,,,,,,
,,3104,1006,그래? 그럼 다행이네.,,,,1,2,,,,,,
,,3104,,둘은 고기가 익는 동안 서로의 일상에 대해 이야기를 주고 받았다. 그 대화들은 평범하기 그지없었다.,,,,,,,,,,,
,,3104,,그러다 중간중간 익은 고기를 먹으며 둘은 저녁을 보냈다.,,,,,,,,,,,
12,,3105,,,,,,,,2,12_1,,,,
,,3105,,식사가 모두 끝난 후...,,,,,,4,,,,,
,,3105,,새나와 도문은 함께 도문의 차에 타 집으로 향하기 시작했다.,,,,,,,,,,,
,,3105,,차 안에서도 도문과 새나는 서로의 일상에 대해 물으며 대화를 이어갔다.,,,,,,,12_2,,,,
,,3105,,그 대화 속에서 서로의 관심사나 좋아하는 것들에 대한 이야기는 거의 나오지 않았다. ,,,,,,,12_3,,,,
,,3105,,옛날에는 서로가 무엇을 좋아하는지 알아가는 단계였기에 이와 관련된 이야기가 주를 이뤘으나,,,,,,,,,,,
,,3105,,이제는 서로를 알고 지낸지 오래되서 서로가 무엇을 좋아하는지 말을 하지 않아도,,,,,,,,,,,
,,3105,,둘은 서로를 너무 잘 알았다.,,,,,,,12_4,,,,
,,3105,,간간히 서로의 관심사에 대한 이야기가 나오기는 했지만 거의 '새로운 영화가 나왔다더라'` '~가 재밌다더라' 하는 등의 간단한 이야기뿐이었다.,,,,,,,,,,,
,,3105,,,,,,,,,12_3,,,,
12,,3106,1006,다왔네. 데려다 줘서 고마워 오빠.,,,,1,2,1,차_내부,,,,
,,3106,1001,응. 조심히 가. 다음에 시간날 때 또 보자.,,,,1,1,,,,,,
,,3106,,둘은 담백하게 작별인사를 하고는 헤어졌다.,,,,,,,,,,,
,,3106,,집으로 가는 차 안에서 도문은 문득 생각했다.,,,,,,,,,,,
,,3106,,계속 반복되는 데이트와 늘 같은 대화.,,,,,,,,,,,
,,3106,,예전과는 다른 느낌. ,,,,,,,,,,,
,,3106,,마치 이건 연인보다는 친구같다는 생각이 계속 들었다. ,,,,,,,,,,,
,,3106,,예전에는 설렘의 연속이었지만` 요즘에는 마치 친구를 만나는 듯한 편안함만 있는 것 같다는 느낌이었다.,,,,,,,,,,,
,,3106,,서로에게 설렘보다는 편안함만 남은 사이.,,,,,,,,,,,
,,3106,,우리 사이를 연인이라고 할 수 있을까?,,,,,,,,,,,
,,3106,,우리는 계속 연인일 수 있을까?,,,,,,,,,,,
,,3106,,요즘 들어 이런 위화감이 계속드는 도문이었다.,,,,,,,,,,,
,,3106,,과연 새나는 어떻게 생각하고 있을까?,,,,,,,,,,,
,,3106,,도문은 이런 온갖 생각을 하며 집으로 향했다.,,,,,,,,,,,
12,,3107,,집에 도착한 도문은 바로 욕실로 들어가 씻은 후 방으로 들어갔다.,,,,,,,도문의 방,,,,
,,3107,,도문은 머리가 마를 때까지 기다리기 위해 잠깐 책상에 앉았다.,,,,,,,,,,,
12,,3108,,,,,,,,2,12_5,,,,
,,3108,,,,,,,,2,,탁상의 앨범 클릭하면 다음 대사 출력,,,
,,3108,,책상에 멍하니 앉아 주변을 둘러보던 도문의 눈에 한 물건이 눈에 띄었다.,,,,,,4,12_6,,,,
,,3108,,그건 바로 사진이었다.,,,,,,,,,,,
,,3108,,사귀기 시작했을 때부터 계속 찍어온 사진들.,,,,,,,,,,,
,,3108,,새나가 사진찍는 것을 좋아했기에 매 순간순간을 이렇게 사진으로 남겨 도문에게 주었다.,,,,,,,12_7,,,,
,,3108,,도문은 사진을 처음부터 끝까지 아무말 없이 계속 보기 시작했다.,,,,,,,,,,,
,,3108,1001,...,,,,,0,0,,,,,
,,3108,,마지막 사진을 맨 뒤로 돌리자 다시 보이는 첫 만남 때의 사진.,,,,,,,12_8,,,,
12,,3109,,도문은 그 사진을 물끄러미 쳐다보았다. 그러다 문득 궁금해졌다.,,,,,,1,도문의 방,,,,
,,3109,,새나는 우리의 관계를` 나를 어떻게 생각하고 있을까.,,,,,,,,,,,
,,3109,,그런 생각을 뒤로하고 도문은 침대에 누웠다.,,,,,,,,,,,
12,501,3110,1000,생각이 많아보이네.,,,,2,0,,,,,,
,,3110,1000,처음에 만날때는 서로를 잘 모르고 모든게 새로워서 늘 설렘의 연속이지.,,,,2,0,,,,,,
,,3110,1000,하지만 시간이 지날수록 모르는 것보다는 아는게 더 많아지니까...,,,,2,0,,,,,,
,,3110,1000,굳이 말하지 않아도 서로를 잘 알아.,,,,2,0,,,,,,
,,3110,1000,그러면 설레는 감정보다는 편안한 마음이 더 커지겠지.,,,,4,0,,,,,,
,,3110,1000,도문이 너도 그런걸꺼야.,,,,4,0,,,,,,
,,3110,1000,설렘보다는 편안한 마음이 큰 관계...,,,,2,0,,,,,,
,,3110,1000,나는 그런 관계도 좋다고 생각해,1,3111,,2,0,,,,,,
,,3110,1000,옛날과 달라서 조금 헷갈릴 수도 있어.,1,3111,,1,0,,,,,,
,501,3111,1000,무엇이 됐든 도문이 너의 마음이 중요하지만...,,,3110,0,0,,,,,,
,,3111,1000,잘 생각해보면 좋겠어.,,,,4,0,,,,,,
,,3111,1000,누가봐도 넌 새나를 무지 좋아하니까.,,,,1,0,,,,,,
,501,3112,1000,그나저나 오늘따라 고요해.,,,3111,0,0,,,,,,
,,3112,1000,왜지? 뭐가 이리 허전하지...,,,,0,0,,,,,,
,,3112,1000,...흠...,,,,4,0,,,,,,
,,3112,1000,뭘까? 늘 들려오던 소리...,,,,4,0,,,,,,
,,3112,1000,아..! 맞아 시계초침 소리!,,,,6,0,,,,,,
,,3112,1000,오늘따라 소리가 잘 안들리는 것 같아.,,,,6,0,,,,,,
