주요등장인물,1000|1001|1002|1003|1004|1005|1006,퍼즐,Lake|ClockTower,,,,,,,,,,,,
에피소드 id,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자 위치,레이아웃,이미지,콘텐츠,배경음,효과음,.
1,,3201,,,,,,,,2,13_1,건배하는 일러스트,,시끌벅적한 소리,
,,3201,엑스트라,행복을 위하여 건배!,,,,,0,1,,,,,
,,3201,,,,,,,,3,,맥주잔 상호작용,,건배 소리,
,,3201,,한 고깃집 안` 많은 사람들이 잔을 높게 들며 건배를 하고 있었다.,,,,,,,술집,,,,
,,3201,엑스트라,축하한다!,,,,0,2,,,,,,
,,3201,엑스트라,축하해!!,,,,3,2,,,,,,
1,,3202,,사람들은 하나같이 도문과 새나에게 축하한다며 인사를 하고 있었다.,,,,,,1,,,새나,건배 소리,
,,3202,1001,고마워.,,,,1,1,,,,,,
,,3202,1006,다들 고마워요~!,,,,1,2,,,,,,
,,3202,1005,내일이 바로 결혼식이니까` 오늘은 늦게까진 못있겠네?,,,,1,2,,,,,,
,,3202,1001,한 10시쯤엔 가야지.,,,,1,1,,,,,,
,,3202,1004,이야... 권도문이 결혼이라니. 아무튼 축하한다!,,,,1,2,,,,,,
,,3202,1001,하하.,,,,1,1,,,,,,
,,3202,,계속되는 축하에 도문은 쑥스러운듯 웃음을 지어보였다.,,,,,,,,,,,
,,3202,1004,일단 가기 전까지...,,,,1,2,,,,,,
,,3202,1004,마셔!!!,,,,1,2,,,,,,
,,3202,,재준이 그렇게 외치자 사람들이 환호를 지르며 다시 건배를 하기 시작했다.,,,,,,,,,,,
,,3202,,도문과 새나도 잔을 높게 들고는 그 사이에서 웃음을 지으며 있었다.,,,,,,,,,,,
1,,3203,1006,오빠 우리 언제쯤 나갈까?,,,,0,2,,술집,,,,
,,3203,1001,음...,,,,0,1,,,,,,
,,3203,1001,10시쯤 갈까 생각 중인데.,,,,0,1,,,,,,
,,3203,,새나는 그 말을 듣고는 시계를 쳐다봤다. 시계 초침은 8를 향해 달리고 있었다.,,,,,,,,,,,
,,3203,1006,흠...꽤 시간이 많이 남았네.,,,,0,2,,,,,,
,,3203,1001,무슨 일 있어?,,,,2,1,,,,,,
,,3203,1006,아니아니. 미리 가서 팩이나 그런 것 좀 하고 자려 했지.,,,,1,2,,,,,,
