주요등장인물,1000|1001|1006|1007,퍼즐,ClockTower|Cliff,,,,,,,,,,,,
에피소드 id,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자 위치,레이아웃,이미지,콘텐츠,배경음,효과음,.
1,,4501,1001,후...,,,,,0,1,사무실,,,,
,,4501,,,,,,,,2,14_1,사무실에 감도는 이상한 분위기. 다들 묵묵 부답으로 일만한다.,,,
,,4501,,오늘따라 무거운 사무실 분위기이다. ,,,,,,4,,,,,
,,4501,,어째서 인지 사람들의 얼굴에는 그림자만이 가득하며` 입에서는 한숨만 계속 나올 뿐이다.,,,,,,,,,,,
,,4501,,그리고 그건 도문도 해당되는 이야기였다.,,,,,,,,,,,
1,,4502,사람1,후... 좀있으면 점심시간이죠?,,,,4,2,1,사무실,,,,
,,4502,사람2,아 그러네. 뭐 먹지...,,,,5,2,,,,,,
,,4502,사람1,그러게요... 기운도 없고 걱정은 가득이고...,,,,4,2,,,,,,
,,4502,사람2,근데 그거 사실인거 맞아? 정리해고...,,,,5,2,,,,,,
,,4502,사람1,지금 옆부서들도 다들 난리라던데...,,,,4,2,,,,,,
,,4502,사람2,언제 한다고는 들은거 없지?,,,,5,2,,,,,,
,,4502,사람1,그런거까지 우리한테 알려주겠나요...,,,,4,2,,,,,,
,,4502,사람2,어휴... 밥이나 먹으러 가자.,,,,5,2,,,,,,
,,4502,사람2,아` 과장님은 밥 안드세요?,,,,5,2,,,,,,
,,4502,1001,나는 좀있다 간단히 먹으려고` 먼저들 먹어,,,,0,1,,,,,,
,,4502,사람1,뭐라도 사다드릴까요?,,,,4,2,,,,,,
,,4502,1001,아니야 괜찮아.,,,,0,1,,,,,,
,,4502,사람2,그럼 먹고 오겠습니다.,,,,5,2,,,,,,
,,4502,,그렇게 둘은 밥을 먹으러 사무실을 나갔다.,,,,,,,,,,,
1,,4503,,모두가 나가` 적막함이 흐르는 사무실 안.,,,,,,,사무실,,,키보드 소리,
,,4503,,도문만이 그곳을 지키며 일을 하고 있었다.,,,,,,,,,,,
,,4503,,생각이 많아보이는 도문. 그때문인지 밥 생각이 없어 보인다.,,,,,,,,,,,
,,4503,,도문의 정신은 다른 곳으로 가있고` 손은 무의식적으로 움직이는 것 같다.,,,,,,,,,,,
,,4503,,그러다 일을 어느정도 끝낸건지` 키보드에서 손을 뗀 도문은 의자에 기대어 눈을 감았다.,,,,,,,,,,stop,
,,4503,1001,후...,,,,4,0,,,,,,
,,4503,,손으로 눈을 쓸던 도문은 다시 똑바로 앉고는 앞을 응시했다. ,,,,,,,,,,,
,,4503,,그런 도문의 눈에 들어온건 가족사진이었다.,,,,,,,,,,,
,,4503,,어느 순간부터 자신이 기억하던 모습보다 더 늙으신 부모님` 그리고 자신의 아내` 마지막으로 서로를 똑 닮은 딸...이비.,,,,,,,,,,,
,,4503,,그런 이들을 생각하며 자신의 상황을 보니 괜시리 눈시울이 붉어져 버린 도문이다.,,,,,,,,,,,
,,4503,1001,어떻게 해야하지...,,,,4,0,,,,,,
,,4503,,액자를 손으로 쓸던 도문은 다시 의자에 기대어 눈을 감았다.,,,,,,,,,,,
,,4503,,계속해서 들려오는 정리해고 소문...,,,,,,,,,,,
,,4503,,다들 소문의 정확한 진위는 모르지만` 괜히 이런 이야기가 떠돌고 있는 것은 아닐거다.,,,,,,,,,,,
,,4503,,정확히는 모르지만` 일어날 법한` 일어날 수도 있는 일... 그렇기에 회사 사람들은 더 걱정하고,,,,,,,,,,,
,,4503,,그 대상이 자신이 되지는 않을까? 하는 불안감과 함께 시간을 보내고 있었다.,,,,,,,,,,,
,,4503,,도문도 그 소문을 듣고` 자신이 부양해야할 가족들 생각에 점점 지쳐가고 마음은 답답해져만 갔다.,,,,,,,,,,,
1,,4504,1001,...,,,,0,1,,사무실,,쓸쓸함,,
