주요등장인물,1000|1001|1006|1007,퍼즐,Volcano|Cave,,,,,,,,,,,,
에피소드 id,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자 위치,레이아웃,이미지,콘텐츠,배경음,효과음,.
1,,5001,1001,나왔어.,,,,0,1,1,거실2,,,,
,,5001,,해가 저물어 어둠이 내려 앉은 저녁.,,,,,,,,,,,
,,5001,,오늘따라 더 피곤한 몸을 이끌고 집으로 온 도문이다.,,,,,,,,,,,
,,5001,1006,왔어요?,,,,1,2,,,,,,
,,5001,,현관 앞에서 그를 유일하게 반기는 건 새나였다.,,,,,,,,,,,
,,5001,1001,응 밥은 먹었어?,,,,1,1,,,,,,
,,5001,1006,아직이요~ 같이 먹어야죠.,,,,1,2,,,,,,
,,5001,1001,이비는?,,,,1,1,,,,,,
,,5001,1006,음...,,,,0,2,,,,,,
,,5001,,그 순간 새나가 곤란한 표정을 지으며 얼떨떨하게 웃는다.,,,,,,,,,,,
,,5001,1006,아직 안왔어요.,,,,0,2,,,,,,
,,5001,1001,뭐? 아직?,,,,2,1,,,,,,
,,5001,1001,오늘 뭐 한대?,,,,2,1,,,,,,
,,5001,,고개를 젓는 새나다.,,,,,,,,,,,
,,5001,1006,딱히 연락 받은게 없네요.,,,,2,2,,,,,,
1,,5002,,,,,,,,2,15_1,,,시계 초침소리,
,,5002,,그 순간 도문의 시선은 시계로 향했다. ,,,,,,4,,,,,
,,5002,,시계의 시침은 9를 가리키고 있었다.,,,,,,,,,,,
1,,5003,1001,...,,,,0,0,1,거실2,,,stop,
,,5003,,도문은 아무말 없이 씻고 나온 후 거실 쇼파에 앉아있었다.,,,,,,,,,,,
,,5003,1006,저녁은요?,,,,2,2,,,,,,
,,5003,1001,...,,,,2,1,,,,,,
,,5003,,도문은 시계를 잠시 응시했다.,,,,,,,,,,,
,,5003,1006,당신도 안먹었지..? 일단 먹자.,,,,2,2,,,,,,
,,5003,,도문은 이비가 올때까지 먹지 않고 기다리려 했지만` 자신을 기다린 새나가 너무 배고플 것 같다는 생각에,,,,,,,,,,,
,,5003,,일단 먹자고 이야기했다. ,,,,,,,,,,,
1,,5004,,밥을 먹으면서도 계속해서 현관쪽과 시계를 보는 도문을 향해 새나가 입을 열었다.,,,,,,,주방,,,,
,,5004,1006,아무래도 입시철이고 하니까 공부한다고 늦는 걸거에요.,,,,0,2,,,,,,
,,5004,1006,너무 걱정말아요. 이비도 다 컸는데.,,,,1,2,,,,,,
,,5004,1001,아니 그래도...,,,,2,1,,,,,,
,,5004,1006,어휴 됐네요. 빨리 밥 먹어요.,,,,1,2,,,,,,
,,5004,,도문은 새나의 말에 다시 조용히 밥을 먹기 시작했다. ,,,,,,,,,,,
,,5004,,한 명이 빠진 식탁. 도문은 알 수 없는 텅 빈 느낌을 받았다.,,,,,,,,,,,
1,,5005,,그렇게 식사를 다 한 후 다시 거실 쇼파에 앉은 도문이다.,,,,,,,거실2,,,,
,,5005,,시선은 TV를 향해 있는 것 같지만` 생각은 계속해서 이비로 가득차있다.,,,,,,,,,,,
,,5005,,그렇게 시계의 초침이 11시를 가르킬 무렵...,,,,,,,,,,,
,,5005,,도문이 참지 못하고 전화기를 들었다.,,,,,,,,,,,
1,,5006,,막 전화 버튼을 누르려던 찰나` 이비가 돌아왔다.,,,,,,,거실2,,,현관문 효과음,
,,5006,1007,...,,,,0,2,,,,,,
,,5006,1001,뭐하다가 이렇게 늦은 거야?,,,,0,1,,,,,,
,,5006,1007,하...,,,,4,2,,,,,,
,,5006,,뭐하다 늦은 거냐는 도문의 물음에 이비는 얼굴에서 부터 짜증남이 묻어나오는 것 같아 보였다. ,,,,,,,,,,,
,,5006,1007,늦을 수도 있잖아요. 피곤해요.,,,,4,2,,,,,,
,,5006,,이비가 신경질 섞인 목소리로 톡 쏘아 말한다.,,,,,,,,,,,
,,5006,,하지만 말을 내뱉고 미안했는지 바로,,,,,,,,,,,
,,5006,1007,입시 준비했어요. 늦었으니까 먼저 들어갈게요.,,,,0,2,,,,,,
,,5006,,라고 말하며 자신의 방으로 휙 들어가 버렸다. ,,,,,,,,,,,
,,5006,,그런 이비를 도문은 씁쓸히 바라봤다.,,,,,,,,,,,
,,5006,,이비가 이렇게 쌀쌀 맞게 구는 이유가 무엇일까?,,,,,,,,,,,
,,5006,,도문은 저번 달에 있었던 저녁 식사 자리가 문득 떠올랐다.,,,,,,,,,,,
1,,5007,,약 한달 전.,,,,,,,주방,,,,
,,5007,,도문의 가족들은 한 식탁에 모두 모여 앉아 즐거운 저녁식사를 하고 있었다.,,,,,,,,,,,
,,5007,,오늘도 여김 없이 서로 무슨 일이 있었는지 이야기하며 하하호호 웃고 있던 때였다.,,,,,,,,,,,
1,,5008,,,,,,,,2,15_2,밥을 먹고 있는 일러스트,,,
,,5008,1006,그러고 보니 이비야.,,,,0,1,4,15_3,새나와 이비가 고개를 들고 있다.,,,
,,5008,1007,응?,,,,1,2,,,,,,
,,5008,1006,곧 있으면 입시인데` 엄마 아빠한테는 따로 말해준 게 없네?,,,,0,1,,,,,,
,,5008,1007,어? 내가 말 안했었나?,,,,1,2,,,,,,
,,5008,,새나의 말에 새삼스레 놀라는 이비다.,,,,,,,,,,,
,,5008,1007,나 그림 그리려고! 그래서 미술 학원 다니던 것도 일반에서 입시반으로 옮겼어요!,,,,1,2,,,,,,
,,5008,,이비의 표정은 정말 즐거워 보였다.,,,,,,,,,,,
1,,5009,,그런데 그 순간.,,,,,,,15_4,도문이 안좋은 표정으로 고개를 들고` 그런 도문을 이비가 의아한 표정으로 쳐다본다.,,,
,,5009,1001,...,,,,0,1,,,,,,
,,5009,1001,그림 말고 공부나 해라.,,,,0,1,,,,,,
,,5009,1007,응?,,,,2,2,,,,,,
,,5009,,갑작스런 도문의 말에 당황하는 이비였다.,,,,,,,,,,,
,,5009,1001,그림 그리는 건 취미로만 해. 나중에 너만 힘들어.,,,,7,1,,,,,,
,,5009,1001,지금은 그냥 공부해서 좋은 대학 가는게 좋아.,,,,7,1,,,,,,
,,5009,,이비의 표정이 점점 어두워 진다.,,,,,,,,,,,
,,5009,1007,난 내가 하고 싶은거 하면서 살고 싶어요.,,,,7,2,,,,,,
,,5009,,이비가 도문에게 자신의 의견을 말하지만` 도문은 계속해서 그림은 힘들다며 공부를 하라고한다.,,,,,,,,,,,
1,,5010,,그러면서 서로의 언성이 점점 높아져 갔다.,,,,,,,15_5,서로 화가 난듯한 도문과 이비/새나는 어쩔줄 몰라한다.,,,
,,5010,1007,아 진짜! 내가 알아서 할게요!,,,,7,2,,,,,,
,,5010,,,,,,,,2,15_6,도문이 화가 난 듯이 이비를 쳐다본다.,,,
1,,5011,,,,,,,,2,,이비를 클릭하면` 이비가 사라지고` 다음 대사가 출력된다.,,,
,,5011,,이비는 울먹이는 표정으로 큰 소리를 치더니 자신의 방으로 들어갔다.,,,,,,4,15_7,,,문 세게 닫는 소리,
,,5011,,그런 이비를 도문은 멍하니 쳐다만 봤다.,,,,,,,,,,,
