등장주요인물,1000|1001|1007,퍼즐,Volcano|Cave,,,,,,,,,,,,
씬,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자,레이아웃,이미지,콘텐츠,배경음,효과음,.
1,,5601,간호사,권도문님 들어오세요.,,,,3,2,1,병원,,,,
,,5601,의사,저번에 어깨와 팔의 통증이 있다고 하셔서 약을 처방해 드렸었는데 어떠셨나요?,,,,9,2,,,,,,
,,5601,1001,별다른 차도는 없었습니다.,,,,0,1,,,,,,
,,5601,1001,검사 결과가 나왔다고 해서..,,,,0,1,,,,,,
,,5601,의사,아... 일단 엑스레이 검사 결과를 함께 볼까요?,,,,9,2,4,16_1,,,,
,,5601,,,,,,,,2,,엑스레이 클릭할 때 까지 대기,,,
,,5601,,,,,,,,2,16_2,,,,
,,5601,의사,왼쪽은 환자분의 엑스레이 결과이고 오른쪽은 정상일 때의 모습입니다.,,,,9,2,4,16_2,,,,
,,5601,의사,어깨 쪽을 보시면 상당히 파열된 모습을 볼 수가 있어요.,,,,9,2,4,16_2,,,,
,,5601,1001,아.. 네.....,,,,2,1,1,,,,,
,,5601,의사,보통 회전근개 파열이라는 병과 함께 발병하는 경우가 많은데,,,,9,2,,,,,,
,,5601,의사,다행히 환자분 같은 경우에는 오십견만 관찰이 되네요.,,,,9,2,,,,,,
,,5601,1001,오십견...,,,,6,1,,,,,,
,,5601,의사,큰 병은 아니고 그동안 몸을 많이 사용하셨기 때문에,,,,9,2,,,,,,
,,5601,의사,나이가 들어감에 따라 나타나는 자연스러운 현상 중 하나입니다.,,,,9,2,,,,,,
,,5601,의사,너무 걱정하지마세요,,,,9,2,,,,,,
,,5601,1001,아.. 감사합니다.....,,,,2,1,,,,,,
,,5601,의사,오십견도 심하신 분들은 수술하시기도 하는데 그정도는 아니고,,,,9,2,,,,,,
,,5601,의사,평소에 무리하지 마시고 스트레칭 같은 것을 자주 해주시면 좋아요,,,,9,2,,,,,,
,,5601,의사,일단은 통증이 있으니까 진통제랑 증세 악화를 막기 위한 소염제 처방 해드릴게요.,,,,9,2,,,,,,
1,,5602,,치료를 위한 약이 아니라 그저 증세가 악화되지 않기 위한 약을 처방받으며 ,,,,,,1,거리(낮),,,,
,,5602,,자신이 이제 정말로 늙어버렸다는 생각에 우울함을 감출 수 없었다.,,,,,,,,,,,
,,5602,,띠롱,,,,,,,,,,,
,,5602,,,문자,,,,,3,black,휴대폰,,,
,,5602,1001,하.... 우리 가족들 잘 살게 해주려다 이렇게 아파졌는데,,,,0,0,1,,,,,
,,5602,1001,이렇게 고맙다는 말도 없이 당연하게 용돈을 달라고 하다니...,,,,7,0,1,,,,,
,,5602,,,문자,,,,,2,black,,,,
,,5602,,,문자,,,,,2,black,,,,
,,5602,1001,하.....,,,,7,0,1,,,,,
,,5602,,도문은 머리를 감싸며 핸드폰을 주머니에 넣고 회사로 발걸음을 옮겼다.,,,,,,,차도,,,,
1,,5603,1001,왜 이렇게 화가 나지...,,,,7,1,1,,,,,
,,5603,직장동료1,어어 거기 조심해요 방금 빨간불로 바뀌었는데 건너려고 하시네,,,,6,2,,,,,,
,,5603,1001,으.. 이런 기본적인 실수까지 해버리다니...,,,,7,1,,,,,,
,,5603,,쏟아지는 감정을 참을 수 없었던 도문은 괜히 신호등을 발로 차며 화풀이를 한다.,,,,,,,,,,metalkick,
,,5603,직장동료1,어이~ 도문이~ 왜 가만히 있는 신호등을 발로 차고 그러나?,,,,6,2,,,,,,
,,5603,직장동료2,우리 나이쯤 되면 원래 감정의 조절이 잘 안되기도 해,,,,7,2,,,,,,
,,5603,직장동료1,그렇긴 하지 나도 저번에 별 일도 아닌데 엄청 화가 났다니까!,,,,6,2,,,,,,
,,5603,직장동료2,갱년기가 와서 그래... 남성갱년기라고 들어는 봤는가?,,,,7,2,,,,,,
,,5603,1001,갱년기....,,,,2,0,,,,,,
,,5603,직장동료2,요즘 영양제 중에 이런게 있는데 남성갱년기에 효과가...,,,,7,2,,,,,,
,,5603,1001,내가 요즘 그정도로 예민했나? 게다가 갱년기라니... 말도안돼....,,,,2,0,,,,,,
1,,5604,1001,내일까지 완성이요? 아 네.. 넵,,,,0,1,1,사무실,,,,
,,5604,1001,팔이 아파서 무리하면 안되는데.. ,,,,0,0,,,,,,
,,5604,1001,....,,,,0,0,,,,,,
,,5604,1001,..안되는데...,,,,2,0,,,,,,
1,,5605,1001,여기로 가주세요~,,,,0,1,1,차_내부,,,,
,,5605,1001,...,,,,3,0,,,,,,
,,5605,1001,오늘 하루는 정말 길었어....,,,,0,0,,,,,,
,,5605,1001,아침부터.. 그리고 점심에는.... 또 본부장님이.....,,,,0,0,,,,,,
