주요등장인물,1000|1001|1006|1007,퍼즐,Cliff|Cave,,,,,,,,,,,,
씬,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자,레이아웃,이미지,콘텐츠,배경음,효과음,.
1,,6501,1001,...,,,,0,0,1,black,,쓸쓸함,,
,,6501,1001,내일부터 나의 일상이 사라진다.,,,,0,0,1,,,,,
,,6501,1001,그토록 벗어나고 싶었던 일상이었는데,,,,0,0,1,,,,,
,,6501,1001,막상 마지막의 순간이 다가오니 놓아지지가 않는다.,,,,0,0,1,,,,,
,,6501,1001,내일이 지나 출근하지 않고 집에만 있는 내가 상상되지 않는다.,,,,0,0,1,,,,,
,,6501,1001,그렇다. 내일은 나의…,,,,0,0,1,,,,,
,,6501,,심란한 마음 때문일까?,,,,,,1,,,,,
,,6501,,한참 생각의 파도에서 헤엄치던 도문은,,,,,,1,,,,,
,,6501,,멀리서 들려오는 새나의 목소리에 귀를 기울였다.,,,,,,1,,,,,
,,6501,,응? 새나의 목소리가 왜 갑자기..?,,,,,,1,,,,,
1,,6502,1006,뭐해? 어서~ 짠~,,,,0,2,1,거실2,,새나,,
,,6502,1006,무슨 생각을 그렇게 해?,,,,0,2,1,,,,,
,,6502,1006,그동안 일하느라 고생 많이 했어. 힘들었지?,,,,0,2,1,,,,,
,,6502,,도문은 재빨리 상황을 파악하려 애썼다.,,,,,,1,,,,,
,,6502,,식탁 위의 치킨이 달콤한 냄새를 풍기며 도문을 현실로 끌어당겼다,,,,,,1,,,,,
,,6502,1001,깜빡깜빡,,,,9,1,1,,,,,
,,6502,,도문은 갑자기 눈 앞에 나타난 새나의 모습에 당황했다.,,,,0,,1,,,,,
,,6502,,새나는 얼타고 있는 도문을 바라보며 빙긋 웃었다.,,,,0,,1,,,,,
,,6502,1006,호호호. 뭘 그렇게 멀뚱하게 있어?,,,,1,2,1,,,,,
,,6502,1006,자! 지금 손에 들고 있는 맥주잔을 앞으로 움직이세요.,,,,1,2,4,17_1,,,,
,,6502,1006,그리고 앞에 보이는 다른 맥주잔에 힘껏 부딪혀보세요.,,,,1,2,4,,,,,
,,6502,1006,어어` 너무 세게 부딪히면 안 됩니다.,,,,1,2,4,,,,,
,,6502,1006,그리고 짠~ 이라고 함께 외쳐볼까요?,,,,1,2,4,,,,,
,,6502,,,,,,,,3,,,,,
,,6502,1006,짠~,,,,1,3,1,17_1_2,,,,
,,6502,,새나가 맥주 한 모금을 들이키자 도문도 새나를 따라 재빨리 잔을 기울여 목을 적셨다.,,,,,,1,거실2,,,,
,,6502,,차가운 맥주를 마시자 도문은 번쩍 정신이 들었다.,,,,,,1,,,,,
,,6502,,자신이 지금 새나와 맥주를 마시는 중이라는 것과,,,,,,1,,,,,
,,6502,,내일 있을 자신의 정년퇴임을 축하하는 자리라는 것을 기억해냈다.,,,,,,1,,,,,
,,6502,1001,짠..,,,,0,1,1,,,,,
,,6502,1006,호호호호,,,,1,2,1,,,,,
,,6502,1006,다 마시고 짠하는 사람이 어디 있어.,,,,0,2,1,,,,,
,,6502,1006,무슨 생각을 그렇게 열심히 했길래 이렇게 어버버한거야?,,,,0,2,1,,,,,
,,6502,,도문의 귀가 살짝 붉어졌다.,,,,,,1,,,,,
,,6502,1001,아.. 음….,,,,8,1,1,,,,,
,,6502,1001,짜잔~ 다 먹었다~ 라는 뜻이었어..,,,,0,1,1,,,,,
,,6502,1006,호호호 술 들어가니까 좋긴 좋네,,,,1,2,1,,,,,
,,6502,1006,당신 농담하는 것도 들어보고 말이야.,,,,1,2,1,,,,,
,,6502,1001,…,,,,0,1,1,,,,,
,,6502,1006,걱정되서 그러는거지?,,,,0,2,1,,,,,
,,6502,1006,내일이 당신 정년 퇴직날이니까..,,,,0,2,1,,,,,
,,6502,,도문은 눈동자를 올려 새나를 살폈다.,,,,,,1,,,,,
,,6502,,초조한 마음이 흘러넘쳐 새나에게까지 흘러들어갔구나.,,,,,,1,,,,,
