주요등장인물,1000|1001|1006|1007,,,,,,,,,,,,,,
에피소드 id,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자 위치,레이아웃,이미지,콘텐츠,배경음,효과음,.
18,,7001,,,,,,,,2,18_1,새나가 병원 침대에 누워있는 모습,,,
,,7001,,환한 햇살이 비추는 어느 한 병실.,,,,,,1,,,,,
,,7001,,고요한 정적만이 감싸는 그 공간에 한 사람이 누워있었다.,,,,,,,,,,,
,,7001,,작은 움직임조차 보이지 않는` 가만히 누워있는 사람은 바로 새나였다.,,,,,,,,,,,
,,7001,,앙상한 몸과 얼굴... 그리고 부쩍 늘어난 주름들이 눈에 들어온다.,,,,,,,,,,,
,,7001,,숨을 들이쉬며 올라오는 가슴이 아니었다면 그 모습은 마치 죽은 사람처럼 고요했다.,,,,,,,,,,,
18,,7002,,멀리서 다가오는 인기척과 함께 누군가 병실 문을 열고 들어왔다.,,,,,,,18_2,병실의 전체적인 모습,,,
,,7002,1001,...,,,,0,0,,,,,,
18,,7003,,문을 연 사람은 다름아닌 도문이었다.,,,,,,,18_3,도문이 병실에 앉아있다.,,,
,,7003,,한손에 꼭 쥔 꽃다발을 조심스레 내려놓고는 침대 옆 간이 의자에 앉았다.,,,,,,,,,,,
,,7003,,도문은 고요히 누워있는 새나를 따스한 눈으로 계속 바라봤다. ,,,,,,,,,,,
18,,7004,,그러다 새나의 손을 살며시 두 손으로 꼭 잡고는 이야기를 하기 시작했다.,,,,,,,18_4,새나의 손을 잡고 웃고있지만 우는 듯한 표정을 하고 있는 도문,,,
,,7004,1001,잘 있었어?,,,,8,0,,,,,,
,,7004,1001,오늘은 날씨가 엄청 화창했어.,,,,8,0,,,,,,
,,7004,1001,날이 좋아서 그런지 꽃도 활짝 피었고 나비도 날아다니더라.,,,,8,0,,,,,,
,,7004,1001,이비는 아침 일찍 나가더라고.,,,,8,0,,,,,,
,,7004,1001,요즘 일이 많이 바쁜가봐... 같이 밥먹은지도 오래된 것 같아.,,,,8,0,,,,,,
,,7004,1001,그래도 매일매일 여기에 찾아오고 있어.,,,,8,0,,,,,,
,,7004,1001,오늘 아침에도 너를 보고난 후에 회사에 갔다더라고.,,,,8,0,,,,,,
,,7004,1001,이비는 잘 봤어?,,,,1,0,,,,,,
,,7004,1001,예전엔 몰랐는데` 새삼 많이 컸더라 이비도...,,,,1,0,,,,,,
,,7004,1001,그만큼 우리도 함께 오랜 세월을 보냈다는 거겠지...,,,,0,0,,,,,,
,,7004,1001,그걸 나는 요즘 새삼스레 느껴.,,,,4,0,,,,,,
,,7004,,새나에게 말을 건내는 도문의 목소리는 한없이 나긋하고 평화로워서,,,,,,,,,,,
,,7004,,마치 늦은 밤 어린아이에게 읽어주는 동화같았다.,,,,,,,,,,,
,,7004,,하지만 그런 목소리와 달리` 마주잡은 손의 떨림은 감춰지지 않았다.,,,,,,,,,,,
18,,7005,,새나가 원래부터 이렇게 아팠던건 아니었다.,,,,,,,18_5,(과거 회상) 평화로운 일상에 새나는 베란다에 있는 화문에 물을 주고 있고/ 도문은 그런 새나를 쳐다보고 있다.,,,
,,7005,,그날도 평소와 같이 평화로운 날이었다.,,,,,,,,,,,
,,7005,,아침 해가 비추는 빛에 일어나 하루를 맞이하던 그날.,,,,,,,,,,,
,,7005,,새나는 평소처럼 화분에 물을 주며 아침을 시작하고 있었다.,,,,,,,,,,,
,,7005,,그러다 새나의 손이 허공에 멈췄다.,,,,,,,,,,,
18,,7006,,손에 들고 있던 물뿌리개는 바닥에 떨어지며 물을 튀기기 시작했고` 새나는 주저 앉으며 머리를 부여잡기 시작했다.,,,,,,,18_6,새나가 갑자기 가슴을 부여잡고 쓰러진다. 이비는 놀라 뛰어오고` 도문은 멍하게 쳐다보고 있다.,,,
,,7006,1001,아...,,,,0,0,,,,,,
,,7006,,도문은 그런 새나의 모습에 눈앞이 깜깜해지는 것을 느꼈다.,,,,,,,,,,,
,,7006,,아무것도 하지 못한채 멍하니 그 모습을 바라만 볼 수 밖에 없었다.,,,,,,,,,,,
,,7006,,뒤에서 들리는 이비의 비명소리가 도문의 정신을 깨웠다.,,,,,,,,,,,
,,7006,1007,엄마! 엄마 정신차리세요!,,,,7,2,,,,,,
,,7006,1007,여보세요?! 여기....,,,,5,2,,,,,,
,,7006,,이비는 다급히 119에 전화를 걸기 시작했다.,,,,,,,,,,,
,,7006,,도문은 쓰러진 새나에게 다가가 그녀를 붙잡고 감싸 안았다. ,,,,,,,,,,,
,,7006,,제발 그녀가 정신을 잃지 않길... 119대원이 올때까지 도문은 새나를 안고 눈물을 흘렸다.,,,,,,,,,,,
,,7006,,아파하는 새나를 위해 해결해줄 수 있는 일이 아무것도 없다는 무력감이 좌절로 돌아와 도문을 덮쳤다.,,,,,,,,,,,
,,7006,,저 멀리서 들려오기 시작하는 사이렌 소리...,,,,,,,,,,,
,,7006,,그렇게 도문의 일상은 무너져버렸다.,,,,,,,,,,,
18,,7007,,다시 떠오르는 그 날의 기억들.,,,,,,,18_7,울듯한 표정으로 새나의 손을 잡고 말을 내뱉는 도문,,,
,,7007,,쓰러진 이후부터 새나는 병실에 누워 자는 시간이 많아졌다.,,,,,,,,,,,
,,7007,,그날의 기억과 지금의 상황은 도문에게 끝없는 무력함과 미안한 감정에 빠지게 만들었다.,,,,,,,,,,,
,,7007,1001,...,,,,0,0,,,,,,
,,7007,,도문은 말없이 새나를 보다가 떠오르는 기억들과 밀려오는 감정에 말을 내뱉기 시작했다. ,,,,,,,,,,,
,,7007,1001,결혼 생활동안 내가 널 너무 힘들게 한걸까?,,,,4,0,,,,,,
,,7007,1001,내가 늘 너의 속을 썩히게 한걸까?,,,,4,0,,,,,,
,,7007,1001,그래서 이렇게 너가 아프게 된걸까?,,,,4,0,,,,,,
,,7007,,작게 내뱉은 그의 말에는 슬픔과 좌절이 깊이 담겨있었다.,,,,,,,,,,,
,,7007,1001,그동안 같이가고 싶다던 여행도...,,,,2,0,,,,,,
,,7007,1001,그 흔한 사랑한다는 표현도 제대로 해주지 못해서 미안해...,,,,2,0,,,,,,
,,7007,1001,내가...,,,,5,0,,,,,,
,,7007,1001,내가 다 미안해 여보...,,,,5,0,,,,,,
,,7007,,간단하지만 해주지 못했던 일들.,,,,,,,,,,,
,,7007,,왜 그때는 해주지 못했을까.,,,,,,,,,,,
,,7007,,뭐가 부끄럽다고` 뭐가 그리 힘들다고...,,,,,,,,,,,
,,7007,,그 사소한거 하나 제대로 해주지 못했을까.,,,,,,,,,,,
,,7007,,지금은 해주고 싶어도` 하고 싶어도 할 수 없는 현실에,,,,,,,,,,,
,,7007,,도문은 답답함을 느꼈다.,,,,,,,,,,,
,,7007,,늘 내뱉기 부끄럽고 쑥스러웠던 사랑한다는 그 말을,,,,,,,,,,,
,,7007,,지금은 새나에게 너무나 해주고 싶은` 새나가 다시한번 들어줬으면 하는 마음 뿐이다.,,,,,,,,,,,
18,,7008,,도문은 꽉잡은 새나의 손에 얼굴을 대며 몸을 숙였다.,,,,,,,18_8,결국 감정을 이기지 못하고 새나의 손에 이마를 대며 눈물을 흘리는 도문,,,
,,7008,1001,너는 이런 나를 만나 행복했을까?,,,,4,0,,,,,,
,,7008,,그 말과 함께 도문은 눈을 감고 조용히 울기 시작했다.,,,,,,,,,,,
18,501,7009,1000,...,,,,0,0,,,,,,
,,7009,1000,나는 아직도 도문이 너와 새나의 첫만남이 기억나.,,,,4,0,,,,,,
