주요등장인물,1000|1001,,,,,,,,,,,,,,
에피소드 id,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자 위치,레이아웃,이미지,콘텐츠,배경음,효과음,.
19,,8001,,,,,,,,2,19_1,안 방 침대에 혼자 누워 있는 도문. 창문으로 들어오는 눈부신 햇살이 도문을 비춘다. 새나의 빈자리가 느껴진다.,,,
,,8001,,눈이 부실정도로 밝은 햇빛이 도문의 얼굴에 내려 앉는다. ,,,,,,1,,,,,
,,8001,,이른 아침이지만 그 빛이 너무나 밝아 잠을 쫒았다.,,,,,,,,,,,
,,8001,1001,...,,,,3,0,,,,,,
19,,8002,,잠에서 깬 도문은 멍한 눈을 비비며 일어나다가 옆을 보았다.,,,,,,,19_2,문득 옆자리를 본 도문은 새나의 빈자리를 느낀다.,,,
,,8002,1001,...아.,,,,3,0,,,,,,
,,8002,,그러다 아차싶었는지 다리를 침대 밖으로 빼곤 거실로 나갔다. ,,,,,,,,,,,
19,,8003,,커튼이 걷어져 있는 창을 통해 들어오는 밝은 햇빛이 그 자리를 비춰주고 있었지만` 그렇지 않은 곳은 어둡디 어두웠다. ,,,,,,,19_3,거실로 나간 도문은 잠깐 그 자리에 서서 집 안을 둘러본다. 햇빛이 비추는 곳은 매우 환하지만 그렇지 않은 곳은 그저 어둡기만 할 뿐이다.,,,
,,8003,,빛이 들어오는 창을 통해 베란다로 나간 도문은 마치 다른 곳으로 가는 듯한 느낌을 주었다.,,,,,,,,,,,
19,,8004,,베란다에 있는 호스를 통해`  도문은 마르고 시든 화분들에 잔득 물을 주기 시작했다.,,,,,,,19_4,도문은 베란다로 가` 호수를 통해 화분에 물을 주고 있다.,,,
,,8004,,중간중간 푸르른 빛을 띄우는 화분들이 있었지만` 그조차도 시들시들했다.,,,,,,,,,,,
,,8004,1001,...,,,,0,0,,,,,,
19,,8005,,,,,,,,2,19_5,에피소드_잘가요에서 새나가 물을 주던 모습을 도문의 뒷모습으로 교체. 단 호스를 연결하여 물을 주는 모습으로,,,
,,8005,,멍하니 화분의 물을 주던 도문은 언듯 비쳐지는 빛에서 새나의 모습을 보았다.,,,,,,1,,,,,
,,8005,,아지렁이처럼 번지는 그 모습은 마치 연기처럼 희미했다.,,,,,,,,,,,
,,8005,,자신도 모르게 내민 손에 그녀의 모습은 흩어져버렸다.,,,,,,,,,,,
,,8005,,그런 흩어지는 연기 너머로 가장 시들고 마른 잎이 보였다.,,,,,,,,,,,
,,8005,1001,새나가 키울때는 참 잘 자랐는데...,,,,0,0,,,,,,
19,,8006,,그렇게 한참동안을 화분을 관리하던 도문은 다시 거실로 돌아가 주방으로 향했다.,,,,,,,19_6,냉장고 앞으로 간 도문의 뒷모습.,,,
,,8006,,냉장고 안에는 여러 반찬들로 가득 차 있었다.,,,,,,,,,,,
,,8006,,홀로 남은 아버지가 걱정된 이비가 자주 집에 들려 반찬을 해놓고 갔었다. ,,,,,,,,,,,
,,8006,,아무래도 혼자 먹다보니 이비가 새로 해줄 때마다 어느정도 반찬들이 남아있었고` 결국 이렇게 쌓이게 되었다. ,,,,,,,,,,,
19,,8007,,도문은 그중 몇개만 꺼내 상을 차렸다. ,,,,,,,19_7,냉장고의 문은 닫히고` 도문은 식탁에 앉아(일러스트 기준 정면이 보이게) 멍하니 밥을 먹고 있다. 식탁에 올라가 있는 건` 그저 먹다 남은 볶음밥 하나,,,
,,8007,,냉장고에 가득 차 있던 모습과 다르게 식탁은 초라하기만 했다. ,,,,,,,,,,,
,,8007,,아무도 없는 고요한 공간 속에서` 간간히 들리는 백색 소음 속에서 도문은 그저,,,,,,,,,,,
,,8007,,밥을 입에 넣을 뿐이었다. ,,,,,,,,,,,
,,8007,,맛있는 반찬과 밥이었지만` 어째서인지 제대로 넘어가지 않았다. ,,,,,,,,,,,
,,8007,,그렇게 꾸역꾸역 밥을 다 먹은 도문은 어딘가 얹히는 느낌이었다. 무언가 자꾸만 불편하고 허전했다.,,,,,,,,,,,
19,,8008,,뭐라도 해야 이 느낌이 사라질 것 같던 도문은 집을 청소하기 시작했다. ,,,,,,,19_8,거실 한 가운데에서 측면의 자세로 청소기를 돌리고 있는 도문,,,
,,8008,,설거지를 먼저 끝내고` 청소기를 돌리며 시간을 보낸다.,,,,,,,,,,,
,,8008,,큰 일을 하지 않았지만 계속해서 숨을 헐떡이고` 온몸이 쑤셔오는 도문이다.,,,,,,,,,,,
19,,8009,,문득 청소를 하다가 보인 거울에 비친 자신의 그런 모습이,,,,,,,19_9,거울 앞에 서서 멍하니 자신의 모습을 바라보는 도문 거울을 통해 도문의 표정이 살짝 들어난다.,,,
,,8009,,어딘가 씁쓸한 도문이다. ,,,,,,,,,,,
,,8009,1001,정말 늙긴 늘었구나...,,,,2,0,,,,,,
,,8009,,왜인지 초라해 보이는 그 모습에 머쩍게 웃을 뿐이다. ,,,,,,,,,,,
19,,8010,,마저 청소를 마친 도문은 쇼파에 쓰러지듯이 기대어 앉았다.,,,,,,,19_10,쇼파에 기대 앉아 멍하니 하늘을 바라보는 도문,,,
,,8010,,한참을 숨을 고르며 멍하니 허공을 바라보았다. ,,,,,,,,,,,
,,8010,,숨을 들이 쉬고 내 쉬고...,,,,,,,,,,,
