등장주요인물,퍼즐,Cave,,,,,,,,,,,,,
씬,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자,레이아웃,이미지,콘텐츠,배경음,효과음,.
1,,901,1001,다녀왔습니다...,,,,0,0,1,거실,,,,
,,901,,집에 들어오며 말하는 도문의 말에는 힘이 없어 보인다.,,,,,,,,,,,
,,901,1001,...오늘도 나 혼자야.,,,,0,0,,,,,,
1,,902,,,,,901,,,2,2_1,,,,
,,902,,도문은 그렇게 말한 뒤` 방에 가방을 두고 식탁 의자에 올라 엄마가 남기고간 쪽지를 봤다.,,,,,,1,,,,,
1,,903,1001,이제 김밥은 싫어...,,,902,2,0,,거실,,,,
,,903,1001,나는 맨날 혼자야... 부모님도 늘 나랑 놀아주지않아...,,,,4,0,,,,,,
,,903,,도문은 그렇게 말한 뒤` 한 입에 김밥을 물고 장난감이 가득한 상자로 갔다.,,,,,,,,,,,
,,903,,열심히 장난감 상자를 뒤지던 도문은 한 로봇을 발견하곤 냅다 꺼냈다. 그의 우울한 눈동자에 잠깐 생기가 비췄다.,,,,,,,,,,,
1,,904,,,,,903,,,2,2_2,,,,
,,904,1001,대신 오늘은 너랑 놀거야! 슈우웅,,,,9,0,1,,,,,
1,,905,,한 로봇 장난감을 손에 쥐고 이리저리 거실을 돌아다니며 한참을 놀던 도문은 피곤한지 점점 속도가 줄더니 그대로 방에 들어가 누웠다.,,,904,,,,,,,,
,,905,1001,역시 혼자 노는 건 재미없어...그렇다고 혼자 나가서 놀면 엄마가 혼내실거야아...,,,,2,0,,,,,,
,,905,1001,맨날 늦게 오시고...주말에는 맨날 잠만자고...내가 싫으신걸까?,,,,2,,,,,,,
1,,906,,,,,905,,,2,2_3,,,,
,,906,,도문은 그렇게 말하면서 스스르 눈이 감겨가기 시작했다.,,,,,,4,,,,,
,,906,1001,으음...,,,,3,0,,,,,,
2,501,907,1000,오늘도 혼자구나. ,,,906,2,0,1,,,,,
,,907,1000,아니지...! 내가 있어!,,,,1,,,,,,,
,,907,1000,하지만 넌 날 볼 수 없으니... 너는 모르겠네.,,,,0,0,,,,,,
,,907,1000,잠이라도 잘 잤으면 좋겠다.,,,,0,0,,,,,,
,,907,1000,...,,,,4,0,,,,,,
,,907,1000,계속 뒤척이기만 하고 제대로 잠에는 못들고 있잖아?,,,,6,0,,,,,,
,,907,1000,무슨 문제가 생긴거지? 한번 확인해 보는게 좋겠어!,,,,6,0,,,,,,
7,970,908,1000,동굴이 좀 이상해...,,,907,2,0,,,,,,
,,908,1000,조금 더 안쪽으로 들어가서 살펴보는게 좋겠어!,,,,6,0,,,,,,
,,908,1000,근데 어디로 가야하지...,,,,2,0,,,,,,
,,908,1000,동굴이 으스스해…,,,,2,0,,,,,,
,,908,1000,어…저기서 무슨 소리가 들려와!,,,,9,0,,,,,,
,,908,1000,소리가 들리는 쪽으로 가보자!,,,,9,0,,,,,,
7,971,909,1000,조금더 안쪽으로 들어온 것같아.,,,908,0,0,,,,,,
,,909,1000,응?,,,,6,0,,,,,,
