주요등장인물,1000|1001|1002|1004|1005,퍼즐,ClockTower,,,,,,,,,,,,
씬,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자,레이아웃,이미지,콘텐츠,배경음,효과음,.
1,,1801,,째깍째깍,,,,,,,교실,,,,
,,1801,1001,...,,,,2,0,,,,,,
,,1801,,도문은 무언가에 쫓기듯` 계속해서 시계를 쳐다봤다.,,,,,,,,,,,
,,1801,선생님,자 남은 시간은 자습하세요. 내일 시험이니까 다들 열심히 하고.,,,,7,1,,,,,,
,,1801,학생들,네~,,,,0,2,,,,,,
,,1801,1001,...,,,,2,0,,,,,,
,,1801,,도문은 그 후` 재빠르게 수학 책을 펴더니 집중하기 시작했고 시간은 빠르게 흘러가기 시작했다.,,,,,,,,,,,
1,,1802,,시간이 지나고...,,,,,,,,,,,
,,1802,,학교 수업이 모두 끝난 후` 멍 하니 있던 도문에게 친구들이 다가왔다.,,,,,,,,,,,
,,1802,1004,야 수업 끝났어. 집 가자.,,,,0,2,,,,,,
,,1802,1001,아...그래 가자.,,,,3,1,,,,,,
,,1802,1005,너 오늘따라 이상한거 같다? 왜 그러냐.,,,,0,2,,,,,,
,,1802,1001,...아니야. 이상하긴 뭘...,,,,3,1,,,,,,
,,1802,1005,그나저나 내일이 벌써 시험이야? 수학부턴가?,,,,0,2,,,,,,
,,1802,1004,그럴걸? 무슨 처음부터 수학이냐...,,,,3,2,,,,,,
,,1802,1001,그러게...,,,,4,1,,,,,,
1,,1803,,집에 가는 동안 도문의 친구들은 계속해서 내일 있을 시험에 대해 이야기했다.,,,,,,,학교,,,,
,,1803,,그동안 도문은 묵묵히 듣고만 있었고` 표정은 갈수록 나빠졌다.,,,,,,,,,,,
,,1803,1004,아 난 여기로 빠져야 돼. 학원부터 가야돼서.,,,,0,0,,,,,,
,,1803,1005,아 나도` 잠깐 학원가서 선생님한테 당분간 못간다고 말해야해서.,,,,0,2,,,,,,
,,1803,1005,당분간 그림은 쉬어야지.,,,,0,2,,,,,,
,,1803,1001,그럼 다들 내일 봐.,,,,1,1,,,,,,
,,1803,,집으로 가는 도문의 표정은 계속 좋지 않았다.,,,,,,,,,,,
1,,1804,1002,왔어?,,,,2,2,,거실,,,,
,,1804,1002,오늘 아버지 좀 늦으신다고 하니까 먼저 먹자.,,,,2,2,,,,,,
,,1804,,집에 도착하자마자 어머니는 도문을 반겨주셨다.,,,,,,,,,,,
,,1804,1001,저는 나중에 먹을게요. 오늘 할게 많아서...,,,,0,1,,,,,,
,,1804,1002,그래? 좀있다 배고프면 말해. 알았지?,,,,1,2,,,,,,
,,1804,1001,네. 그럼 먼저 들어가 볼게요.,,,,0,1,,,,,,
1,,1805,,그렇게 방으로 들어온 도문은 바로 책상 앞에 앉아 책을 펼치기 시작했다.,,,,,,,도문의 방(밤),,,,
,,1805,,그렇게 몇 시간이 흐르고...,,,,,,,,,,,
,,1805,,뚝...뚝...,,,,,,,,,,,
,,1805,1001,뭐지?,,,,3,0,,,,,,
,,1805,,,,,,,,2,4_1,,,,
,,1805,,도문의 코에서 피가 흐르기 시작했다. 도문은 이런 상황에 익숙한듯 휴지를 가져와 코에 쑤셔넣었다.,,,,,,4,,,,,
,,1805,1001,...아직 부족해.,,,,2,0,,,,,,
,,1805,,도문은 그렇게 말하곤 한참을 책상 앞에 앉아있었다.,,,,,,1,도문의 방(밤),,,,
,,1805,,그리고 오늘 할 일을 다했는 지 늦은 새벽이 되서야 자리에 누웠다. ,,,,,,,,,,,
,,1805,1001,...하...,,,,3,0,,,,,,
,,1805,,깊게 한숨을 내 쉬곤 손을 눈 위에 덮은 후 잠을 청하려고 하고 있다.,,,,,,,,,,,
2,501,1806,1000,...,,,,2,0,,,,,,
,,1806,1000,많이 긴장한거 같네.,,,,2,0,,,,,,
,,1806,1000,오늘의 시작부터 계속 무언가에 쫓기고 불안해하고...,,,,2,0,,,,,,
,,1806,1000,잠을 잘 때만큼은 다 잊었으면 좋겠는데...,,,,2,0,,,,,,
,,1806,1000,...,,,,0,0,,,,,,
,,1806,1000,근데 아까부터...무슨 소리가 자꾸 들리는데..?,,,,0,0,,,,,,
,,1806,1000,점점 커지고 있어...이 소린...?,,,,0,0,,,,,,
,,1806,1000,...!,,,,9,0,,,,,,
,,1806,1000,이렇게 빠르게 초침이 흔들린다고? 이러다가 떨어질지도 몰라!,,,,9,0,,,,,,
,,1806,1000,빨리 시계탑에 올라가봐야겠어!,,,,9,0,,,,,,
2,1830,1807,1000,진동이 너무 커...!,,,1806,6,0,,,,,,
,,1807,1000,초침이 제대로 돌아가지도 못하고 제자리에서 저렇게 울리다니...,,,,6,0,,,,,,
,,1807,1000,이러다가 진짜로 초침이 떨어질지도 몰라...,,,,9,0,,,,,,
,,1807,1000,빨리 탑 위로 올라가자!,,,,9,0,,,,,,
2,1830,1808,1000,일단 초침이 잘 돌아가게 고쳐놨으니까...,,,,0,0,,,,,,
,,1808,1000,당분간 괜찮겠지..?,,,,0,0,,,,,,
,,1808,1000,그나저나 이번 시험이 엄청 부담이 됐었나보네...,,,,2,0,,,,,,
,,1808,1000,하긴...제일 자신 없는 수학이 하필 첫 시험이니...,,,,2,0,,,,,,
,,1808,1000,고등학교 들어오고 나서부터 수학 점수가 잘 안나와서 계속 스트레스 받긴했지...,,,,2,0,,,,,,
,,1808,1000,더군다나 내년에 바로 입시기도 하니까...,,,,4,0,,,,,,
,,1808,1000,신경쓰는 건 좋지만 그렇게 부담을 가지면 오히려 좋지 않아.,,,,4,0,,,,,,
,,1808,1000,중요한건 알지만` 가끔은 그걸 내려놓았으면 좋겠어.,,,,2,0,,,,,,
,,1808,1000,쉬어야 할 때는 확실히 쉬고...,,,,2,0,,,,,,
,,1808,1000,너의 마음의 짐이 이걸로 잠시나마 덜어지길...,,,,4,0,,,,,,
1,,1809,,따스한 햇살이 도문의 얼굴 위로 비치고 있다. ,,,,,,,도문의 방,,,,
,,1809,1001,...되게 푹 잔거 같네.,,,,0,0,,,,,,
,,1809,,도문의 표정은 어제와 달리 고요하고 평온해 보였다.,,,,,,,,,,,
,,1809,1001,역시...피곤해서 더 긴장되고 초조했었나보네...,,,,4,0,,,,,,
,,1809,,도문은 그렇게 말하곤 빠르게 화장실로가 씻었다.,,,,,,,,,,,
1,,1810,1001,일단 빨리가서 다시 한 번 보고...,,,,0,0,,거실,,,,
,,1810,1002,오늘도 안 먹고가게?,,,,1,2,,,,,,
,,1810,1001,...,,,,0,0,,,,,,
,,1810,,요즘의 도문이었다면 무언가에 쫓기듯 빠르게 집 밖을 나갔을 테지만 오늘은 잠깐 식탁을 쳐다보더니 자리에 앉았다.,,,,,,,,,,,
,,1810,1001,오늘은 먹고 갈래요.,,,,1,0,,,,,,
,,1810,,그렇게 도문은 간단하게 아침 밥을 빠르게 먹곤 학교로 향했다.,,,,,,,,,,,
1,,1811,,교실에 도착한 도문은 자리에 앉아 수학 공식을 다시 보기 시작했다.,,,,,,4,4_2,,,,
,,1811,,편안한 표정으로 책을 보는 도문의 표정이 어제와 상반되어 보인다. ,,,,,,,,,,,
,,1811,,그리고...시간이 흘러 점차 학생들이 들어오고` 시험이 시작되었다.,,,,,,,4_3,,,,
,,1811,,도문은 계속 걱정하던 것과 달리 실수없이 자신이 공부한 것을 시험에서 보여주었다.,,,,,,,,,,,
E,,,,,,,,,,,,,,,
