등장주요인물,1000|1001,퍼즐,Cilff|Cave,,,,,,,,,,,,
씬,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자,레이아웃,배경 id,콘텐츠,배경음,효과음,.
1,,1901,,조용한 교무실 한켠에서 도문은 선생님과 상담을 하고 있었다.,,,,,,1,교무실,,,,
,,1901,선생님,그래서 어떤걸 하고 싶니?,,,,5,2,,,,,,
,,1901,1001,...,,,,0,1,,,,,,
1,,1902,선생님,예전에 생활기록부 장래희망 란에 쓴 걸 보면... 화가가 되고 싶다고 했었구나.,,,,5,2,,교무실,,,,
,,1902,선생님,그리고 부모님이 희망하시는 건 경제쪽이고.,,,,5,2,,,,,,
,,1902,1001,네. 아버지가 경제쪽에서 일하고 계시거든요.,,,,0,1,,,,,,
,,1902,선생님,그랬구나. 일단 부모님이 희망하시는 것보단 도문이 너가 하고 싶은게 중요해.,,,,5,2,,,,,,
,,1902,1001,하지만...전 제가 하고 싶은 일에 자신이 없어요...,,,,2,1,,,,,,
,,1902,1001,그리고 지금 집안 사정도 어렵고...,,,,2,1,,,,,,
,,1902,1001,잘 모르겠어요...,,,,2,1,,,,,,
,,1902,선생님,...생각이 많겠구나.,,,,5,2,,,,,,
,,1902,선생님,그래 그럼 아직 입시는 꽤 남았으니까 그동안 고민 좀 더 해보자.,,,,5,2,,,,,,
,,1902,선생님,알았지?,,,,5,2,,,,,,
,,1902,1001,네. 감사합니다.,,,,0,1,,,,,,
,,1902,선생님,그래 다음에 다시 얘기하자.,,,,5,2,,,,,,
1,,1903,,도문은 그렇게 교무실을 등지고 나왔다.,,,,,,,교무실,,,,
,,1903,,그의 얼굴에는 근심만이 가득할 뿐이었다. ,,,,,,,,,,,
,,1903,,그런 도문이 향한 곳은 바로 미술실이었다. ,,,,,,,,,,,
1,,1904,,,,,,,,2,미술실,,,,
,,1904,,한동안 미술 선생님께 부탁하여` 도문은 방과후마다 미술실에서 입시 미술을 준비하고 있었다.,,,,,,4,5_1,,,,
,,1904,,붓을 들고 열심히 칠하고는 있지만 아무런 감흥없이 규칙적으로 손을 움직일뿐이다.,,,,,,,,,,,
,,1904,1001,과연 내가 미대에 갈 수 있을까...,,,,2,0,1,미술실,,,,
,,1904,1001,지금 집도 상황이 좋지 않아...미대는 학비도 비싸고...,,,,2,0,,,,,,
,,1904,1001,그리고...,,,,0,0,,,,,,
,,1904,,혼자 중얼거리던 도문은 붓을 내려놓고` 자신이 그린 그림을 한참 쳐다보았다.,,,,,,,,,,,
,,1904,1001,내가 그리고 싶은게 이게 맞을까?,,,,5,0,,,,,,
,,1904,,예전에는 그림을 그리는 내내 즐거워하고 웃음이 떠나지 않던 도문이었지만` 어느 순간부터 그림을 그리면서도 즐겁지 않게 되었다.,,,,,,,,,,,
,,1904,,미대에 가고싶어서` 그리고 그림을 계속 그리고 싶어서 선택한 일이었지만 집 안 상황이 좋지 않다.,,,,,,,,,,,
,,1904,1001,모르겠다... 일단 늦었으니까 집에 가자...,,,,2,0,,,,,,
,,1904,,그렇게 그는 집으로 향했다. ,,,,,,,,,,,
1,,1905,,,,,,,,2,도문의 방(밤),,,,
,,1905,,집에 와서 씻고 숙제를 하던 도문은 문뜩 노트 한 구석을 보았다.,,,,,,4,5_2,,,,
,,1905,,그러더니 무언가 열심히 그리기 시작했다. 그리고 그런 그가 그린 것은 슈퍼맨 포즈를 하고 있는 한 남자 캐릭터였다.,,,,,,,5_3,,,연필,
,,1905,,다 그린 후` 그림을 보며 도문은 살짝 미소를 지었다. ,,,,,,,,,,,
,,1905,,하지만 그런 것도 잠시... 그의 얼굴에 다시 그림자가 내려 앉았다.,,,,,,,도문의 방(밤),,,,
,,1905,,그 잠깐의 미소는 방과후에 그림을 그릴 때와는 확연히 다른 모습이었다. ,,,,,,,,,,,
1,,1906,1001,...잠이나 자자.,,,,0,0,1,,,,,
,,1906,,그렇게 노트를 덮은 도문은 자리에 누워 눈을 감았다.,,,,,,,,,,,
,,1906,,복잡한 생각을 내려 놓으려 하면서...,,,,,,,,,,,
2,501,1907,1000,생각이 많이 복잡해 보이네...,,,,2,0,,,,,,
,,1907,1000,이맘때 많이 드는 생각일 거라 생각해.,,,,2,0,,,,,,
,,1907,1000,과연 내가 하고싶은 일이 나한테 맞는 걸까?,,,,2,0,,,,,,
,,1907,1000,정말로 내가 그 일을 하고 싶은걸까? 싶기도 하고.,,,,2,0,,,,,,
,,1907,1000,그리고...정말로 하고 싶더라도 하지 못하는 경우도 있지.,,,,2,0,,,,,,
,,1907,1000,세상은 너무 복잡한거 같아...,,,,2,0,,,,,,
,,1907,1000,하고 싶은 걸 행복하게 할 수는 없는 걸까?,,,,2,0,,,,,,
,,1907,1000,나는 너가 행복했으면 좋겠어...무슨 일을 하든 간에...,,,,2,0,,,,,,
2,501,1908,1000,...주책 맞게 내가 지금 눈물을 흘리나...? 앞이 뿌옇게 변하는거 같은...,,,1907,5,0,,,,,,
,,1908,1000,눈물이 아니라 안개잖아?,,,,6,0,,,,,,
,,1908,1000,이러다 아예 앞이 안 보일거야! 빨리 안개를 제거하러 가야겠어!,,,,6,0,,,,,,
2,1960,1909,1000,...내가 도움을 줄 수 있는 건 이런 것 밖에 없어.,,,,2,0,,,,,,
,,1909,1000,빨리 안개를 제거해서 조금이라도 불안을 덜어주자.,,,,2,0,,,,,,
2,1960,1910,1000,휴...,,,1909,0,0,,,,,,
,,1910,1000,이렇게라도 널 도울 수 있어서 다행이라 생각해.,,,,0,0,,,,,,
,,1910,1000,불안정한 미래...,,,,0,0,,,,,,
,,1910,1000,이루어 질 수 없는 미래...,,,,0,0,,,,,,
,,1910,1000,확신할 수 없는 미래...,,,,0,0,,,,,,
,,1910,1000,다들 희망적인 미래만을 생각하고 싶지만...,,,,0,0,,,,,,
,,1910,1000,우리가 겪는 미래는 대부분 이런 것인걸.,,,,0,0,,,,,,
,,1910,1000,그래도... 지금만큼은 생각하지 말았으면 해.,,,,4,0,,,,,,
2,501,1911,1000,...,,,1910,4,0,,,,,,
,,1911,1000,아까 안개때문에 정신이 팔려서 몰랐었는데...,,,,0,0,,,,,,
,,1911,1000,...심각하게 떨리고 있어.,,,,2,0,,,,,,
,,1911,1000,미래에 대해 많이 초조한 모양이야...,,,,2,0,,,,,,
,,1911,1000,잘때만큼은 편안했으면 했는데...,,,,2,0,,,,,,
,,1911,1000,빨리 가서 저 떨림을 멈춰야 해..! 이러다 초침이 고장나기라도 하면 큰일이니까.,,,,6,0,,,,,,
2,1930,1912,1000,자...빨리 맞춰보자.,,,1911,6,0,,,,,,
2,1930,1913,1000,이제 괜찮겠지...,,,,4,0,,,,,,
,,1913,1000,너가 생각하는 미래는 불안하고 초조하기만 한걸까?,,,,4,0,,,,,,
,,1913,1000,생각만이라도 희망적인걸 꿈꿨으면 했는데...,,,,4,0,,,,,,
,,1913,1000,사실 모두가 그러긴 힘든건 알지만... 그게 쉽지 않은 걸 알지만...,,,,4,0,,,,,,
,,1913,1000,그런건 조금 더 나중에 생각했으면 좋겠어.,,,,4,0,,,,,,
,,1913,1000,아직 어리잖아.,,,,2,0,,,,,,
,,1913,1000,다 크려면 멀었는 걸. 그러니까... 생각만이라도 행복하길 빌어.,,,,2,0,,,,,,
,,1913,1000,...이게 무슨 소리지...?,,,,6,0,,,,,,
,,1913,1000,동굴에서 나는 소리인 것 같아...,,,,6,0,,,,,,
,,1913,1000,한번 가보는게 좋겠어.,,,,0,0,,,,,,
7,1970,1914,1000,분명 여러 소리가 들렸었는데... 동굴에 들어오자 마자 고요해... 조금 더 안쪽으로 들어가 보자.,,,,0,0,,,,,,
7,1971,1915,1000,...아까 희미하게 나던 웃음 소리는 여기서 나는 거였나봐.,,,,2,0,,,,,,
,,1915,1000,그런데 왜 동굴에 처음 들어왔을 때는 아무 것도 안들렸지?,,,,2,0,,,,,,
,,1915,1000,마치 날 안쪽으로 오게 하려는 것 마냥...,,,,0,0,,,,,,
7,1972,1916,1000,...,,,,0,0,,,,,,
,,1916,1000,아까까지는 행복한 소리가 들렸는데` 지금 이곳은 서글픈 소리로만 가득 찼어.,,,,0,0,,,,,,
7,1973,1917,1000,...이 그림은...,,,,2,0,,,,,,
,,1917,1000,아까 본 그림들은 행복해 보였고` 누가 봐도 너의 그림인걸 알았어.,,,,4,0,,,,,,
,,1917,1000,그런데 여기의 그림들은... 너를 닮지도 않았고` 행복해 보이지도 않아.,,,,4,0,,,,,,
,,1917,1000,너는 어릴 때부터 그림 그리는 걸 좋아했지... ,,,,4,0,,,,,,
,,1917,1000,그런데 지금의 너를 보면 전혀 행복해 보이지 않아.,,,,4,0,,,,,,
,,1917,1000,하고 싶은 일이 있지만` 거대한 벽에 가로 막히고.,,,,4,0,,,,,,
,,1917,1000,하고 싶지 않지만 해야만 하는 일이 생기고.,,,,0,0,,,,,,
,,1917,1000,하고 싶은 일을 하기 위해선 다른 많은 것을 포기해야하고.,,,,0,0,,,,,,
,,1917,1000,하고 싶은 일을 하기 위해선 즐겁지 않은 일을 감수해야하고.,,,,0,0,,,,,,
,,1917,1000,그리고...그런 일들이 반복되다 보면 너는 너가 좋아하는 것을 잃게 되겠지.,,,,0,0,,,,,,
