등장주요인물,1000|1001|1006,퍼즐,Lake|ClockTower,,,,,,,,,,,,
에피소드 id,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자 위치,레이아웃,이미지,콘텐츠,배경음,효과음,.
1,,2301,,복학을 하고 오랜만에 학교에 오게 된 도문.,,,,,,1,캠퍼스,,,,
,,2301,,화창한 날씨에 선선하게 부는 바람이 도문을 반긴다.,,,,,,,,,,,
,,2301,1001,음...교양 강의실이 어디더라...,,,,0,0,,,,,,
,,2301,1001,이게 원래 여기 있었나..?,,,,2,0,,,,,,
,,2301,,도문은 오랜만에 온 학교가 낯설고` 기억 속의 학교와 오랜만에 보게 된 학교는 무언가 많이 달라보였다. ,,,,,,,,,,,
1,,2302,1001,아... 여기로 가야 됐었나...,,,,2,0,,강의실2,,,,
,,2302,,겨우겨우 찾아 온 강의실엔 사람이 아직 없어 한적했다.,,,,,,,,,,,
,,2302,1001,휴... 다행이다. ,,,,1,0,,,,,,
,,2302,,도문은 강의실을 쫙 살펴보더니 구석자리로 가 자리를 잡았다.,,,,,,,,,,,
,,2302,,무언가 뻘쭘한 마음에 도문은 혼자서 책을 폈다가 닫기도 하면서 괜히 시간을 보냈다. ,,,,,,,,,,,
,,2302,,그 후 얼마 안가 강의실로 사람들이 잔뜩 들어오더니 시끌벅적해졌다.,,,,,,,,,,시끌벅적한 소리,
,,2302,,이런 소란스러운 분위기와 더불어 어색한 분위기가 강의실을 감싸기 시작했다. ,,,,,,,,,,,
,,2302,,그렇게 시간이 조금 지나자 교수님이 들어오시고 강의가 시작되었다.,,,,,,,,,,stop,
1,,2303,,한창 강의가 진행되던 와중...,,,,,,,강의실2,,,,
,,2303,교수님,그럼 한 학기동안 해당 주제에 대해 팀을 짜서 발표를 할 예정입니다.,,,,7,2,,,,,,
,,2303,교수님,팀은 지금 앉은대로 5명씩 묶어서 할거니까 이렇게...,,,,7,2,,,,,,
