주요등장인물,1000|1001,,,,,,,,,,,,
에피소드 id,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자,레이아웃,배경 id,배경음,효과음
7,7001,701,1001,...,,,,4,0,,0,,
,,701,1001,무슨 소리지..?,,,,3,0,,,,
,,701,1001,으음...,,,,3,0,,,,
7,7001,702,1001,... 엄마..?,,,,2,0,,,,
,,702,1001,저기서 나는 거 같은데...,,,,2,0,,,,
,,702,1001,엄마가 아닌가... 무슨 소리지?,,,,2,0,,,,
7,7001,703,1001,왜이렇게 어질러져 있지...,,,,0,0,,,,
,,703,1001,좀있다가 정리할래... ,,,,3,0,,,,
7,7001,704,1001,와...환하다!,,,,9,0,,,,
,,704,1001,이렇게 앞에서 하면... 짠! 강아지다!,,,,1,0,,,,
7,7001,705,1001,앗..! 잘못 눌러서 어두워 졌어...,,,704,6,0,,,,
,,705,1001,꺼지면 안돼... 난 어두운게 무서... 아니 싫어!,,,,6,0,,,,
7,7001,706,1001,만지지 말자... 더 어두워지면 안돼...,,,705,2,0,,,,
,7002,707,,커튼이 단단히 쳐있다.,,,,,,,,,
,,707,1001,...창문은 무서워...,,,,2,0,,,,
,,707,1001,못보겠어...,,,,2,0,,,,
7,7002,708,1001,안볼거야.,,,707,0,0,,,,
,,708,1001,...절대!,,,,7,0,,,,
7,7003,709,,옷장 문은 꽉 닫혀있다.,,,,,,,,,
,,709,,도문은 빨리 소리가 들리는 곳으로 가고 싶어하는 것 같다.,,,,,,,,,
,,709,1001,나 저기로 가고 싶은데...,,,,2,0,,,,
7,7004,710,,의자는 책상 안에 들어가 있다. ,,,,,,,,,
,,710,,도문은 왜인지 책상 아래를 무서워하는 것 같아 보인다.,,,,,,,,,
,,710,1001,책상 아래엔 밤에 도깨비가 숨어있다 그랬어...보면안돼.,,,,2,0,,,,
7,7004,711,,책상 위에는 여러 책들이 놓여져 있었다. 도문이가 책 위로 그린 그림들이 인상깊다.,,,,,,,,,
7,7004,712,,곰인형이 책상 밑에 떨어져 있었다.,,,710|711,,,,,,
,,712,1001,응? 우리 고미가 왜 여기있지??,,,,0,0,,,,
,,712,1001,자~ 다시 여기 있자!,,,,1,0,,,,
,,712,1001,아까 그 소리는 얘가 떨어지는 소리였나봐! ,,,,1,0,,,,
,,712,1001,흐아암...,,,,3,0,,,,
,,712,1001,다시 잘래...,,,,3,0,,,,
,,712,,도문은 발을 돌려 다시 침대로 향하기 시작했다.,,,,,,,,,
7,7004,713,1001,잘래...,,,712,4,0,,,,
E,,,,,,,,,,,,,
